"unique_NM","gene","code"
"NR_027943","1110038B12Rik",101
"NR_015536","1110038B12Rik",9
"NM_054099","1110038F14Rik",0
"NR_040707","1110046J04Rik",0
"NM_175123","1110051M20Rik",1
"NR_037954","1110054M08Rik",0
"NM_172401","1110057K04Rik",11
"NM_001167768","1110057K04Rik",1
"NM_001167767","1110057K04Rik",91
"NM_026503","1110058L19Rik",0
"NM_025423","1110059E24Rik",1
"NM_025419","1110059G10Rik",1
"NM_001142727","1110065P20Rik",0
"NR_037955","1190002F15Rik",9
"NR_037956","1190002F15Rik",3
"NM_001033145","1190002N15Rik",0
"NM_001195435","1190003K10Rik",0
"NM_197988","1190005I06Rik",0
"NM_001135569","1190007I07Rik",99
"NM_001135568","1190007I07Rik",930
"NM_001135567","1190007I07Rik",303
"NM_025818","1200014J11Rik",0
"NR_037958","1300002E11Rik",0
"NR_037957","1300002E11Rik",0
"NM_028788","1300002K09Rik",0
"NM_027918","1300017J02Rik",1
"NR_015498","1500004A13Rik",0
"NR_037697","1500009C09Rik",0
"NR_037698","1500009C09Rik",0
"NM_001145198","1500009L16Rik",1
"NR_027817","1500011B03Rik",0
"NR_027818","1500011B03Rik",0
"NR_015476","1500011K16Rik",0
"NM_001081005","1500012F01Rik",0
"NR_045812","1500012K07Rik",0
"NR_045814","1500012K07Rik",0
"NR_029432","1500015A07Rik",0
"NR_045817","1500015L24Rik",0
"NM_024283","1500015O10Rik",0
"NR_033510","1500017E21Rik",0
"NR_040485","1600002D24Rik",0
"NR_040484","1600002D24Rik",0
"NM_028056","1600002H07Rik",0
"NM_027207","1600002K03Rik",0
"NR_037959","1600010M07Rik",0
"NM_001083881","1600012H06Rik",922
"NM_026451","1600012H06Rik",9009
"NM_001083880","1600012H06Rik",90090
"NM_001083882","1600012H06Rik",44400
"NM_001085385","1600014C10Rik",0
"NM_028166","1600014C10Rik",0
"NM_028164","1600014C23Rik",0
"NM_028046","1600014K23Rik",0
"NM_001081273","1600015I10Rik",0
"NM_028050","1600016N20Rik",0
"NR_040481","1600019K03Rik",0
"NR_037960","1600020E01Rik",0
"NR_037961","1600020E01Rik",0
"NR_073433","1600023N17Rik",0
"NR_038168","1600025M17Rik",0
"NR_036588","1600027J07Rik",0
"NR_028123","1600029I14Rik",0
"NR_033522","1600029O15Rik",0
"NM_029285","1700001C02Rik",0
"NM_001172091","1700001C19Rik",0
"NM_029296","1700001C19Rik",0
"NR_045475","1700001D01Rik",0
"NM_027940","1700001F09Rik",0
"NR_038077","1700001G11Rik",0
"NR_033199","1700001G17Rik",0
"NM_001008547","1700001J03Rik",0
"NR_033613","1700001J11Rik",0
"NM_025488","1700001K19Rik",0
"NR_036590","1700001K23Rik",0
"NR_027980","1700001L05Rik",1
"NM_027035","1700001L19Rik",0
"NM_198000","1700001O22Rik",9
"NR_028486","1700001O22Rik",3
"NR_028487","1700001O22Rik",9
"NM_028156","1700001P01Rik",0
"NR_045478","1700003C15Rik",0
"NR_045477","1700003D09Rik",0
"NM_027948","1700003E16Rik",0
"NR_103799","1700003E24Rik",0
"NR_103799_1","1700003E24Rik",0
"NM_029305","1700003F12Rik",0
"NR_040720","1700003G13Rik",0
"NR_029433","1700003G18Rik",0
"NR_015460","1700003H04Rik",0
"NR_040507","1700003L19Rik",0
"NM_027041","1700003M02Rik",0
"NR_040647","1700003M07Rik",0
"NR_040648","1700003M07Rik",0
"NR_045982","1700003P14Rik",0
"NM_027939","1700006A11Rik",0
"NM_029287","1700006E09Rik",0
"NR_045621","1700006F04Rik",0
"NR_045900","1700006H21Rik",0
"NM_027944","1700007B14Rik",9
"NM_001164235","1700007B14Rik",1
"NR_040538","1700007F19Rik",0
"NM_001024614","1700007G11Rik",1
"NR_045476","1700007J10Rik",0
"NM_027037","1700007K09Rik",0
"NM_027040","1700007K13Rik",0
"NR_045709","1700007L15Rik",0
"NR_040554","1700007P06Rik",0
"NM_029292","1700008F21Rik",3
"NM_001168369","1700008F21Rik",9
"NM_027952","1700008I05Rik",0
"NR_024331","1700008J07Rik",0
"NR_038143","1700008K24Rik",900091
"NR_038141","1700008K24Rik",443030
"NR_038144","1700008K24Rik",399
"NR_038145","1700008K24Rik",9900
"NR_038142","1700008K24Rik",90000
"NM_027049","1700008O03Rik",0
"NM_027048","1700008P02Rik",0
"NR_046040","1700009C05Rik",0
"NR_015547","1700009J07Rik",0
"NM_001081095","1700009N14Rik",0
"NM_001081275","1700009P17Rik",0
"NM_029308","1700010B08Rik",0
"NM_029590","1700010D01Rik",0
"NR_040587","1700010I02Rik",0
"NM_025851","1700010I14Rik",1
"NR_040579","1700010J16Rik",0
"NR_040512","1700010K23Rik",0
"NM_025487","1700011A15Rik",0
"NR_045616","1700011B04Rik",0
"NM_029298","1700011E24Rik",0
"NM_025956","1700011H14Rik",0
"NM_029290","1700011I03Rik",0
"NM_026315","1700011L22Rik",0
"NR_073044","1700011M02Rik",0
"NM_029587","1700012A03Rik",0
"NM_001162428","1700012B07Rik",0
"NM_027038","1700012B07Rik",0
"NM_029306","1700012B09Rik",0
"NR_045171","1700012D01Rik",0
"NR_015573","1700012D14Rik",0
"NR_045140","1700012I11Rik",0
"NM_029588","1700012L04Rik",0
"NM_027056","1700012P22Rik",0
"NM_001177502","1700013D24Rik",0
"NM_029314","1700013F07Rik",0
"NM_027063","1700013G24Rik",0
"NM_001200013","1700013H16Rik",0
"NM_001039593","1700015E13Rik",0
"NM_001200025","1700015F17Rik",0
"NM_001195601","1700015G11Rik",0
"NM_027077","1700016C15Rik",1
"NM_024271","1700016D06Rik",0
"NR_045891","1700016G22Rik",0
"NM_028824","1700016H13Rik",0
"NM_001163550","1700016H13Rik",0
"NM_198637","1700016K19Rik",0
"NR_045824","1700016L04Rik",0
"NR_040460","1700016L21Rik",0
"NR_038149","1700016P04Rik",0
"NM_028820","1700017B05Rik",1
"NM_027058","1700017D01Rik",0
"NR_040445","1700017G19Rik",0
"NR_040326","1700017J07Rik",0
"NM_001081246","1700017N19Rik",0
"NR_029439","1700018A04Rik",0
"NM_029597","1700018B08Rik",0
"NR_003617","1700018B24Rik",0
"NM_029324","1700018C11Rik",0
"NM_027069","1700018F24Rik",0
"NR_045422","1700018G05Rik",0
"NR_028360","1700018L02Rik",0
"NM_027070","1700019A02Rik",0
"NM_029598","1700019B03Rik",0
"NR_045443","1700019B21Rik",0
"NR_045442","1700019B21Rik",0
"NM_144953","1700019D03Rik",0
"NR_040497","1700019E08Rik",0
"NM_029331","1700019G17Rik",0
"NM_001145895","1700019G17Rik",0
"NR_040255","1700019G24Rik",0
"NM_025619","1700019L03Rik",0
"NR_103800","1700019M22Rik",0
"NM_026208","1700019N19Rik",0
"NM_027966","1700019O17Rik",0
"NM_029375","1700020A23Rik",0
"NM_001163483","1700020A23Rik",0
"NM_023781","1700020D05Rik",0
"NR_045979","1700020G17Rik",0
"NR_027832","1700020I14Rik",9
"NR_015473","1700020I14Rik",3
"NM_025492","1700020L24Rik",0
"NR_040742","1700020M21Rik",0
"NR_027968","1700020N01Rik",0
"NM_029316","1700020N15Rik",0
"NR_026924","1700020N18Rik",0
"NM_026411","1700021F05Rik",0
"NM_028158","1700021F07Rik",0
"NM_172615","1700021K19Rik",19
"NM_001200038","1700021K19Rik",1
"NR_045800","1700021N21Rik",0
"NR_003953","1700022A21Rik",0
"NR_045509","1700022A22Rik",0
"NR_040568","1700022E09Rik",0
"NR_045488","1700022H16Rik",0
"NM_026088","1700022I11Rik",0
"NR_045909","1700023C21Rik",0
"NM_027970","1700023E05Rik",0
"NR_038039","1700023F02Rik",0
"NM_001254724","1700023F06Rik",0
"NR_040264","1700023L04Rik",0
"NR_040263","1700023L04Rik",0
"NR_045479","1700024B18Rik",0
"NR_045363","1700024F13Rik",0
"NM_001034037","1700024G13Rik",0
"NM_027064","1700024P04Rik",0
"NR_104376","1700024P16Rik",2190
"NM_001162980","1700024P16Rik",2991
"NM_001285953","1700024P16Rik",9991
"NM_001285952","1700024P16Rik",2911
"NR_040310","1700025B11Rik",0
"NR_033448","1700025C18Rik",0
"NM_027074","1700025F22Rik",0
"NR_040578","1700025F24Rik",0
"NM_197990","1700025G04Rik",0
"NR_045825","1700025K24Rik",0
"NR_040689","1700025M24Rik",990
"NR_040687","1700025M24Rik",901
"NR_040688","1700025M24Rik",219
"NR_040523","1700025N23Rik",0
"NM_029335","1700026D08Rik",1
"NR_028286","1700026D11Rik",0
"NR_045487","1700026F02Rik",0
"NM_027283","1700026L06Rik",0
"NR_038001","1700027A15Rik",0
"NR_038002","1700027A15Rik",0
"NR_040681","1700027F09Rik",0
"NR_040594","1700027H10Rik",0
"NR_040741","1700027I24Rik",0
"NR_040581","1700027J07Rik",0
"NR_033605","1700028B04Rik",0
"NR_045378","1700028D13Rik",9
"NR_045377","1700028D13Rik",1
"NR_045700","1700028E10Rik",0
"NR_045699","1700028E10Rik",0
"NR_038042","1700028I16Rik",0
"NR_029436","1700028J19Rik",1
"NM_182745","1700028K03Rik",0
"NM_175241","1700028K03Rik",0
"NR_036591","1700028M03Rik",0
"NM_026188","1700028P14Rik",0
"NR_040509","1700028P15Rik",0
"NR_040531","1700029B22Rik",0
"NR_104276","1700029F12Rik",9
"NM_025585","1700029F12Rik",39
"NM_001080777","1700029F12Rik",32
"NM_001284205","1700029F12Rik",92
"NM_001080781","1700029H14Rik",2
"NM_025601","1700029H14Rik",9
"NM_183112","1700029I15Rik",0
"NR_040494","1700029J03Rik",0
"NM_001033148","1700029J07Rik",0
"NR_015613","1700029M20Rik",1
"NR_027909","1700029M20Rik",9
"NR_045489","1700029N11Rik",0
"NM_025503","1700029P11Rik",0
"NR_045457","1700030A11Rik",0
"NR_015521","1700030C10Rik",0
"NR_045731","1700030F04Rik",0
"NM_028180","1700030F18Rik",0
"NM_027103","1700030J22Rik",0
"NM_028170","1700030K09Rik",0
"NR_040592","1700030L20Rik",0
"NR_045903","1700030M09Rik",0
"NR_045304","1700030N03Rik",0
"NR_045345","1700030O20Rik",0
"NR_045439","1700031A10Rik",0
"NM_028496","1700031F05Rik",0
"NR_015496","1700031M16Rik",0
"NR_045910","1700031P21Rik",0
"NM_030097","1700034E13Rik",0
"NM_001163521","1700034F02Rik",910
"NM_028504","1700034F02Rik",210
"NR_045397","1700034G24Rik",9
"NR_045396","1700034G24Rik",2
"NR_030669","1700034H15Rik",0
"NR_045380","1700034I23Rik",0
"NM_001164236","1700034J05Rik",0
"NM_028509","1700034J05Rik",0
"NR_040756","1700034K08Rik",0
"NM_029671","1700034O15Rik",0
"NR_040462","1700034P13Rik",0
"NR_040542","1700036G14Rik",0
"NM_028484","1700037C18Rik",0
"NM_026091","1700037H04Rik",0
"NM_001033176","1700039E15Rik",0
"NR_045315","1700039E22Rik",0
"NM_028491","1700040L02Rik",0
"NR_033784","1700041C23Rik",0
"NR_040573","1700041M19Rik",0
"NM_001081671","1700042B14Rik",0
"NM_001099295","1700042G07Rik",0
"NR_038179","1700042G15Rik",9
"NR_038178","1700042G15Rik",3
"NR_045178","1700042O10Rik",0
"NR_045624","1700044C05Rik",0
"NR_033785","1700044K03Rik",0
"NR_040649","1700045H11Rik",0
"NR_045918","1700046C09Rik",0
"NR_110583","1700047A11Rik",0
"NR_073363","1700047E10Rik",0
"NR_040447","1700047G03Rik",0
"NM_001100116_1","1700047I17Rik2",0
"NM_001100116","1700047I17Rik2",0
"NR_040691","1700047L14Rik",0
"NR_015458","1700047M11Rik",0
"NR_045300","1700048M11Rik",0
"NR_033553","1700048O20Rik",0
"NR_033636","1700049E15Rik",0
"NR_040525","1700049E22Rik",0
"NM_028538","1700049G17Rik",0
"NR_003644","1700049L16Rik",0
"NR_045922","1700051A21Rik",0
"NR_033786","1700052I22Rik",0
"NR_027956","1700052K11Rik",0
"NM_024261","1700052N19Rik",1
"NR_045320","1700054A03Rik",0
"NR_027865","1700054K19Rik",0
"NR_045919","1700054M17Rik",0
"NM_026096","1700054O13Rik",0
"NR_040726","1700055C04Rik",0
"NM_028545","1700055N04Rik",0
"NM_028516","1700056E22Rik",0
"NM_001033184","1700057G04Rik",0
"NR_040774","1700057H15Rik",0
"NR_045732","1700060C16Rik",0
"NR_036606","1700060C20Rik",0
"NR_038180","1700061F12Rik",0
"NM_030141","1700061G19Rik",0
"NR_038029","1700061I17Rik",1
"NR_040467","1700063A18Rik",0
"NR_040392","1700063D05Rik",0
"NR_045383","1700063O14Rik",0
"NR_045348","1700064J06Rik",0
"NR_045288","1700064M15Rik",0
"NR_073361","1700065D16Rik",0
"NM_001271569","1700065D16Rik",0
"NR_108057","1700065I16Rik",1
"NR_040315","1700065I16Rik",9
"NR_040526","1700065J11Rik",0
"NR_040468","1700065J18Rik",0
"NR_108032","1700065L07Rik",0
"NR_045386","1700065O20Rik",0
"NR_040465","1700066B17Rik",1
"NM_001033168","1700066B19Rik",0
"NM_028546","1700066M21Rik",0
"NR_045924","1700066N21Rik",0
"NR_015541","1700066O22Rik",0
"NR_040471","1700067G17Rik",0
"NM_183097","1700067K01Rik",0
"NM_026625","1700067P10Rik",0
"NR_033216","1700069L16Rik",0
"NR_040527","1700069P05Rik",0
"NM_001033765","1700071K01Rik",0
"NR_045445","1700071M16Rik",9
"NR_045444","1700071M16Rik",4
"NR_040727","1700072B07Rik",0
"NR_045733","1700072O05Rik",0
"NR_003625","1700073E17Rik",0
"NR_045296","1700074H08Rik",0
"NM_028550","1700074P13Rik",0
"NM_028562","1700080E11Rik",0
"NR_040500","1700080N15Rik",0
"NM_028851","1700080O16Rik",0
"NR_040693","1700081H04Rik",0
"NM_001033185","1700084C01Rik",0
"NR_028299","1700084E18Rik",0
"NR_045965","1700084F23Rik",0
"NR_033608","1700084J12Rik",0
"NR_046045","1700085C21Rik",0
"NR_030733","1700086L19Rik",91
"NR_030735","1700086L19Rik",99
"NR_030734","1700086L19Rik",19
"NR_027903","1700086O06Rik",0
"NR_015475","1700086O06Rik",0
"NR_027904","1700086O06Rik",0
"NM_138581","1700088E04Rik",1
"NR_073362","1700091H14Rik",0
"NR_045467","1700092C02Rik",0
"NR_045931","1700092C10Rik",0
"NR_045933","1700092E19Rik",0
"NR_045930","1700092K14Rik",0
"NM_001177347","1700092M07Rik",0
"NM_001110133","1700093K21Rik",0
"NM_026105","1700093K21Rik",0
"NM_028567","1700094D03Rik",0
"NR_040580","1700094J05Rik",0
"NR_046049","1700094M24Rik",0
"NR_045468","1700095A21Rik",0
"NR_040675","1700095B10Rik",3
"NR_040676","1700095B10Rik",9
"NR_027883","1700096J18Rik",0
"NR_027388","1700096K18Rik",0
"NR_045287","1700097N02Rik",0
"NR_045934","1700100L14Rik",0
"NM_001166705","1700101E01Rik",0
"NR_045270","1700101I11Rik",0
"NR_045045","1700101O22Rik",0
"NR_045302","1700102H20Rik",1
"NR_045303","1700102H20Rik",9
"NM_053216","1700102P08Rik",0
"NR_108033","1700104L18Rik",0
"NR_045703","1700105P06Rik",0
"NM_028859","1700106J16Rik",0
"NR_015485","1700108F19Rik",0
"NR_015532","1700108J01Rik",0
"NR_033788","1700109G14Rik",0
"NR_046197","1700109G15Rik",0
"NM_029843","1700109H08Rik",0
"NR_045936","1700109I08Rik",0
"NR_108037","1700109K24Rik",0
"NR_045461","1700110C19Rik",0
"NR_038059","1700110I01Rik",0
"NR_038059_1","1700110I01Rik",0
"NR_038059_2","1700110I01Rik",0
"NR_040728","1700110K17Rik",0
"NR_033213","1700111N16Rik",0
"NM_028275","1700112E06Rik",0
"NR_040472","1700112H15Rik",0
"NR_077218","1700112J05Rik",0
"NR_045997","1700113A16Rik",0
"NM_029685","1700113H08Rik",0
"NR_040536","1700119H24Rik",0
"NR_045627","1700120C14Rik",0
"NR_045368","1700120E14Rik",0
"NR_046050","1700120G07Rik",0
"NR_027915","1700120K04Rik",0
"NR_045453","1700121L16Rik",0
"NR_036593","1700121N20Rik",0
"NM_029689","1700122O11Rik",0
"NM_001165919","1700123I01Rik",0
"NM_029693","1700123K08Rik",0
"NR_003643","1700123L14Rik",0
"NR_040577","1700123M08Rik",0
"NR_045185","1700123O12Rik",0
"NM_021437","1700123O20Rik",0
"NR_045799","1700123O21Rik",0
"NR_105027","1700124L16Rik",0
"NR_040651","1700125G02Rik",0
"NR_040548","1700125G22Rik",0
"NR_038181","1700125H03Rik",0
"NR_038189","1700125H03Rik",0
"NM_028589","1700125H20Rik",0
"NR_040695","1700126H18Rik",0
"NR_045938","1700128A07Rik",0
"NR_033618","1700128F08Rik",0
"NM_026461","1700129C05Rik",0
"NR_040439","1810006J02Rik",0
"NR_045472","1810007C17Rik",0
"NR_038136","1810007D17Rik",0
"NR_045301","1810008I18Rik",0
"NM_025463","1810009A15Rik",9
"NR_104416","1810009A15Rik",4
"NM_023707","1810009J06Rik",0
"NR_033626","1810010D01Rik",0
"NM_001163473","1810010H24Rik",0
"NM_001163616","1810011H11Rik",0
"NM_026931","1810011O10Rik",0
"NR_045473","1810012K16Rik",0
"NR_045427","1810013A23Rik",0
"NM_001081400","1810013L24Rik",0
"NR_015572","1810014B01Rik",0
"NR_038140","1810018F18Rik",0
"NR_040346","1810019D21Rik",1
"NR_040345","1810019D21Rik",9
"NR_040344","1810019D21Rik",1
"NR_045482","1810020O05Rik",0
"NR_040417","1810021B22Rik",0
"NM_001099674","1810022K09Rik",0
"NM_198630","1810024B03Rik",0
"NR_037569","1810026B05Rik",11
"NM_178619","1810026J23Rik",0
"NM_175141","1810030O07Rik",0
"NR_027821","1810032O08Rik",41
"NR_027820","1810032O08Rik",99
"NR_027819","1810032O08Rik",91
"NR_045798","1810034E14Rik",0
"NM_024461","1810037I17Rik",0
"NM_001163145","1810041L15Rik",0
"NM_026431","1810043G02Rik",0
"NM_001110242","1810043H04Rik",0
"NR_038153","1810044D09Rik",0
"NM_027217","1810046K07Rik",1
"NR_040489","1810053B23Rik",0
"NR_040488","1810053B23Rik",0
"NR_040486","1810053B23Rik",0
"NR_040490","1810053B23Rik",0
"NR_040487","1810053B23Rik",0
"NR_040491","1810053B23Rik",0
"NM_028077","1810055G02Rik",0
"NR_015608","1810058I24Rik",1
"NR_027875","1810058I24Rik",0
"NM_028183","1810062G17Rik",0
"NR_033571","1810062O18Rik",11
"NR_027981","1810064F22Rik",0
"NM_027239","1810065E05Rik",0
"NM_001163503","2010001E11Rik",0
"NM_053217","2010002M12Rik",0
"NM_027237","2010003K11Rik",0
"NM_029733","2010005H15Rik",0
"NR_040609","2010009K17Rik",0
"NR_045394","2010010A06Rik",0
"NR_045393","2010010A06Rik",0
"NM_025563","2010012O05Rik",0
"NM_177674","2010015L04Rik",1
"NM_001166029","2010015L04Rik",0
"NR_033207","2010016I18Rik",0
"NR_045435","2010106C02Rik",0
"NM_001168590","2010106E10Rik",3
"NM_026333","2010106E10Rik",9
"NM_027360","2010107E04Rik",0
"NM_001025573","2010107G12Rik",0
"NM_027251","2010107G23Rik",1
"NM_029363","2010109A12Rik",0
"NM_025929","2010109I03Rik",0
"NM_001289924","2010111I01Rik",901
"NM_001289926","2010111I01Rik",411
"NR_110521","2010111I01Rik",0
"NR_110520","2010111I01Rik",900
"NR_027924","2010204K13Rik",0
"NR_027925","2010204K13Rik",0
"NM_028096","2010300C02Rik",0
"NR_045429","2010308F09Rik",0
"NR_045430","2010308F09Rik",0
"NR_045169","2010310C07Rik",0
"NM_001243117","2010315B03Rik",10
"NM_001243119","2010315B03Rik",99
"NM_001243118","2010315B03Rik",1
"NR_029440","2010320M18Rik",0
"NM_028179","2200002D01Rik",0
"NM_026961","2200002J24Rik",1
"NM_023333","2210010C04Rik",0
"NM_001291292","2210011C24Rik",0
"NM_027327","2210013O21Rik",1
"NR_015577","2210015D19Rik",1
"NM_027335","2210016F16Rik",0
"NM_028211","2210016L21Rik",0
"NM_172280","2210018M11Rik",1111
"NR_038157","2210019I11Rik",0
"NR_044985","2210039B01Rik",0
"NM_001256493","2210404O09Rik",0
"NM_144544","2210407C18Rik",11
"NR_040258","2210408F21Rik",9091109001
"NR_040262","2210408F21Rik",1.91e+08
"NR_040261","2210408F21Rik",99109019
"NR_040257","2210408F21Rik",9011009001
"NR_040259","2210408F21Rik",3099101009
"NR_040260","2210408F21Rik",9001909001
"NM_001081353","2210408I21Rik",0
"NM_001145676","2210408I21Rik",0
"NR_045360","2210409D07Rik",0
"NR_003492","2210409E12Rik",0
"NR_040643","2210414B05Rik",0
"NR_045499","2210416O15Rik",0
"NR_028285","2210417A02Rik",0
"NR_045389","2210420H20Rik",0
"NM_175148","2300002M23Rik",0
"NM_001195383","2300003K06Rik",0
"NM_001081961","2300005B03Rik",0
"NM_027090","2300009A05Rik",0
"NR_040266","2310001H17Rik",2
"NR_040265","2310001H17Rik",0
"NR_040268","2310001H17Rik",9
"NR_028122","2310001K24Rik",0
"NR_045490","2310002D06Rik",0
"NR_077063","2310002F09Rik",0
"NM_026415","2310002J15Rik",0
"NM_027104","2310002L09Rik",0
"NM_027981","2310002L09Rik",0
"NM_027980","2310003H01Rik",0
"NR_040634","2310005A03Rik",0
"NR_045498","2310005E17Rik",0
"NM_183281","2310005G13Rik",0
"NM_001159940","2310007B03Rik",0
"NM_172411","2310007B03Rik",0
"NM_029345","2310007L24Rik",1
"NR_045904","2310008N11Rik",0
"NR_040377","2310009A05Rik",0
"NM_001081226","2310009B15Rik",0
"NR_046007","2310010J17Rik",1
"NR_046006","2310010J17Rik",0
"NM_025521","2310011J03Rik",0
"NM_029809","2310014L17Rik",0
"NR_033514","2310015A10Rik",0
"NR_038041","2310015B20Rik",0
"NR_037997","2310015D24Rik",0
"NR_045491","2310016D03Rik",0
"NR_045495","2310020H05Rik",0
"NM_175107","2310022A10Rik",40
"NM_001122767","2310022A10Rik",91
"NM_175149","2310022B05Rik",0
"NR_040603","2310030A07Rik",0
"NM_025865","2310030G06Rik",11
"NM_024210","2310033P09Rik",1
"NM_054100","2310034C09Rik",0
"NR_040418","2310034G01Rik",0
"NR_040679","2310034O05Rik",0
"NM_029349","2310035C23Rik",91111011
"NM_173187","2310035C23Rik",11111011
"NM_026760","2310036O22Rik",0
"NM_025966","2310039H08Rik",0
"NR_045337","2310039L15Rik",0
"NR_040293","2310040G24Rik",0
"NR_040292","2310040G24Rik",0
"NM_025634","2310042E22Rik",0
"NR_037994","2310043L19Rik",1
"NR_045757","2310043O21Rik",0
"NM_001145552","2310045N01Rik",1
"NM_028005","2310047M10Rik",0
"NM_025621","2310050C09Rik",0
"NM_026336","2310057J18Rik",0
"NM_026655","2310057M21Rik",0
"NM_027170","2310057N15Rik",0
"NM_001033630","2310061I04Rik",0
"NR_027965","2310061J03Rik",0
"NM_027155","2310061N02Rik",0
"NR_038055","2310065F04Rik",0
"NM_028014","2310067B10Rik",1
"NR_028124","2310068J16Rik",0
"NR_040520","2310069B03Rik",0
"NR_040309","2310069G16Rik",0
"NM_027173","2310079G19Rik",0
"NR_045474","2310081J21Rik",0
"NR_045474_1","2310081J21Rik",0
"NM_025880","2410002F23Rik",1
"NR_045496","2410003L11Rik",0
"NM_025555","2410004B18Rik",0
"NR_037963","2410004I01Rik",0
"NR_038152","2410004N09Rik",9
"NR_038151","2410004N09Rik",1
"NM_001201332","2410004P03Rik",1
"NM_001201333","2410004P03Rik",9
"NR_030738","2410006H16Rik",0
"NR_040539","2410007B07Rik",0
"NR_045939","2410012E07Rik",0
"NM_028033","2410012M07Rik",0
"NM_153152","2410015M20Rik",1
"NM_023633","2410016O06Rik",0
"NR_033517","2410017I17Rik",0
"NR_015504","2410018L13Rik",0
"NR_045428","2410021H03Rik",0
"NM_028598","2410076I21Rik",0
"NR_040493","2410088K16Rik",0
"NM_001162906","2410089E03Rik",11
"NR_040652","2410114N07Rik",0
"NM_029740","2410124H12Rik",0
"NM_026120","2410127L17Rik",1
"NM_001081236","2410131K14Rik",1
"NM_029747","2410137M14Rik",0
"NM_183119","2410141K09Rik",0
"NM_001290196","2410141K09Rik",0
"NR_040318","2500004C02Rik",0
"NM_001033164","2510002D24Rik",0
"NM_028197","2510003E04Rik",0
"NM_001001881","2510009E07Rik",0
"NM_029841","2510039O18Rik",0
"NM_001101431","2510049J12Rik",1
"NR_024619","2610001J05Rik",0
"NM_001190445","2610002J02Rik",9
"NR_033802","2610002J02Rik",4
"NM_025921","2610002M06Rik",1
"NR_028428","2610005L07Rik",0
"NM_001004362","2610008E11Rik",0
"NM_027801","2610015P09Rik",0
"NR_045347","2610016A17Rik",0
"NM_133729","2610018G03Rik",0
"NR_038156","2610020C07Rik",0
"NM_028129","2610020H08Rik",11001
"NM_001004187","2610020H08Rik",1090
"NR_077059","2610027K06Rik",0
"NR_015560","2610028E06Rik",0
"NM_029816","2610028H24Rik",1
"NM_027420","2610034B18Rik",0
"NM_027001","2610034M16Rik",0
"NR_015556","2610035D17Rik",0
"NR_045046","2610035F20Rik",0
"NR_040423","2610037D02Rik",0
"NM_153780","2610044O15Rik8",0
"NR_033490","2610100L16Rik",0
"NR_015483","2610203C20Rik",0
"NR_015470","2610203C22Rik",0
"NR_038175","2610206C17Rik",0
"NR_110495","2610207O16Rik",0
"NM_026005","2610301B20Rik",1
"NM_145078","2610305D13Rik",0
"NR_028298","2610306M01Rik",0
"NR_045054","2610307P16Rik",19
"NR_045053","2610307P16Rik",1
"NR_045172","2610316D01Rik",0
"NM_183287","2610318N02Rik",0
