ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
87	"CD28"	"CD28"	chr2	+	203726632	203726698	203706474	203706748	203729647	203729772
88	"CD28"	"CD28"	chr2	+	203726632	203726989	203706474	203706748	203729647	203729772
89	"SFXN4"	"SFXN4"	chr10	-	119142252	119142373	119140912	119141319	119146235	119146353
90	"SFXN4"	"SFXN4"	chr10	-	119161054	119161081	119160914	119160969	119162339	119162414
91	"ZNF573"	"ZNF573"	chr19	-	37771563	37771690	37770004	37770097	37773660	37773751
92	"ZNF573"	"ZNF573"	chr19	-	37770406	37770597	37770004	37770097	37771563	37771696
93	"ZNF573"	"ZNF573"	chr19	-	37771563	37771696	37770004	37770097	37773660	37773751
94	"ZNF573"	"ZNF573"	chr19	-	37772937	37772982	37771563	37771696	37773660	37773751
95	"LRRTM4"	"LRRTM4"	chr2	-	77521667	77521818	77518317	77519864	77522108	77522376
96	"LRRTM4"	"LRRTM4"	chr2	-	77521667	77521748	77518317	77519864	77522108	77522376
97	"CBFB"	"CBFB"	chr16	+	67066681	67066798	67036638	67036755	67082212	67082339
98	"AASDHPPT"	"AASDHPPT"	chr11	+	106090556	106090678	106079466	106079692	106091315	106091477
99	"ANTXRLP1"	"ANTXRLP1"	chr10	-	46263509	46263608	46254020	46254096	46269381	46269608
100	"ANTXRLP1"	"ANTXRLP1"	chr10	-	46248890	46248971	46219024	46219706	46254020	46254096
101	"LLPH"	"LLPH"	chr12	-	66128895	66129113	66123068	66124018	66130704	66130753
102	"CCNDBP1"	"CCNDBP1"	chr15	+	43185819	43185879	43185267	43185607	43189198	43189280
103	"CCNDBP1"	"CCNDBP1"	chr15	+	43190054	43190151	43189198	43189280	43190324	43190398
104	"CCNDBP1"	"CCNDBP1"	chr15	+	43186153	43186233	43185819	43185879	43189198	43189280
105	"HPGD"	"HPGD"	chr4	-	174517970	174518077	174508695	174508792	174521943	174522067
106	"HPGD"	"HPGD"	chr4	-	174495547	174495624	174490176	174492094	174508695	174508792
107	"HPGD"	"HPGD"	chr4	-	174508695	174508792	174495547	174495624	174521943	174522067
108	"HPGD"	"HPGD"	chr4	-	174493150	174493314	174490176	174492094	174495547	174495624
109	"ZNF611"	"ZNF611"	chr19	-	52714014	52714141	52702812	52706864	52715831	52715913
110	"ZNF611"	"ZNF611"	chr19	-	52716110	52716233	52715831	52715913	52728729	52728831
111	"ZNF611"	"ZNF611"	chr19	-	52729905	52730005	52728729	52728831	52735000	52735044
112	"MPHOSPH9"	"MPHOSPH9"	chr12	-	123226287	123226351	123223037	123223127	123227462	123227616
113	"MPHOSPH9"	"MPHOSPH9"	chr12	-	123227462	123227616	123223037	123223127	123230260	123230522
114	"MPHOSPH9"	"MPHOSPH9"	chr12	-	123203249	123203375	123202623	123203084	123210055	123210162
115	"MICAL1"	"MICAL1"	chr6	-	109447680	109447722	109447356	109447440	109447874	109447963
116	"MICAL1"	"MICAL1"	chr6	-	109447874	109447963	109447680	109447722	109448202	109448393
117	"MICAL1"	"MICAL1"	chr6	-	109450299	109450557	109449969	109450085	109451599	109451700
118	"SIRT5"	"SIRT5"	chr6	+	13596962	13597016	13595476	13595564	13599031	13599155
119	"SIRT5"	"SIRT5"	chr6	+	13588330	13588464	13584075	13584225	13591668	13591894
120	"SIRT5"	"SIRT5"	chr6	+	13599031	13599155	13596962	13597016	13600833	13600949
121	"UROD"	"UROD"	chr1	+	45014438	45014576	45013908	45014070	45014735	45014836
122	"G2E3"	"G2E3"	chr14	+	30581075	30581116	30559122	30559272	30586717	30586815
123	"G2E3"	"G2E3"	chr14	+	30605504	30605812	30601998	30602131	30607887	30608069
124	"SLC35A2"	"SLC35A2"	chrX	-	48909813	48909996	48906391	48906543	48911545	48911958
125	"SLC35A2"	"SLC35A2"	chrX	-	48909813	48909996	48906391	48906543	48911506	48911958
126	"SLC35A2"	"SLC35A2"	chrX	-	48910233	48910317	48909813	48909996	48911545	48911958
127	"KIAA0922"	"KIAA0922"	chr4	+	153580825	153580903	153558257	153558368	153581406	153581560
128	"NDUFA7"	"NDUFA7"	chr19	-	8316495	8316645	8311299	8311595	8320856	8320906
129	"EIF2S1"	"EIF2S1"	chr14	+	67374467	67374547	67364766	67365008	67376438	67376590
130	"LAMP5"	"LAMP5"	chr20	+	9515999	9516131	9515452	9515625	9516255	9516361
131	"EIF4A2"	"EIF4A2"	chr3	+	186787494	186787584	186787126	186787264	186787802	186787882
132	"EIF4A2"	"EIF4A2"	chr3	+	186786501	186786645	186786163	186786273	186787126	186787264
133	"EIF4A2"	"EIF4A2"	chr3	+	186784961	186785101	186784563	186784696	186785882	186786051
134	"EIF4A2"	"EIF4A2"	chr3	+	186785882	186786051	186784563	186784696	186786163	186786273
135	"TRIP13"	"TRIP13"	chr5	+	900493	900549	896664	896794	901340	901431
136	"TRIP13"	"TRIP13"	chr5	+	908354	908461	907987	908074	911842	911996
137	"NDUFA12"	"NDUFA12"	chr12	-	94994169	94994257	94971327	94971620	95002738	95002821
138	"TAF11"	"TAF11"	chr6	-	34879966	34880063	34877777	34878720	34880288	34880376
139	"EIF2AK4"	"EIF2AK4"	chr15	+	40025976	40026089	40022518	40022605	40029405	40029464
140	"EIF2AK4"	"EIF2AK4"	chr15	+	40008026	40008195	40007015	40007065	40009613	40009730
141	"EIF2AK4"	"EIF2AK4"	chr15	+	39965685	39965843	39961783	39961899	39967343	39967879
142	"COL4A6"	"COL4A6"	chrX	-	108164599	108164698	108162891	108163038	108164876	108165038
143	"COL4A6"	"COL4A6"	chrX	-	108183721	108183772	108180896	108180968	108187095	108187279
144	"COL4A6"	"COL4A6"	chrX	-	108169944	108170016	108169494	108169620	108170608	108170716
145	"PITRM1"	"PITRM1"	chr10	-	3147986	3148063	3147571	3147737	3148170	3148291
146	"PITRM1"	"PITRM1"	chr10	-	3170103	3170206	3166935	3167042	3172716	3172841
147	"PITRM1"	"PITRM1"	chr10	-	3148170	3148291	3147571	3147737	3149620	3149753
148	"TMX2"	"TMX2"	chr11	+	57737912	57738026	57737607	57737668	57738663	57738770
149	"TMX2"	"TMX2"	chr11	+	57737912	57738026	57737607	57737668	57738353	57738430
150	"TMX2"	"TMX2"	chr11	+	57737835	57738026	57737607	57737668	57738353	57738430
151	"TMX2"	"TMX2"	chr11	+	57737835	57738026	57737607	57737668	57738663	57738770
152	"TMX2"	"TMX2"	chr11	+	57738353	57738430	57737607	57737668	57738663	57738770
153	"TMX2"	"TMX2"	chr11	+	57738353	57738430	57737835	57738026	57738663	57738770
154	"FMR1"	"FMR1"	chrX	+	147938098	147938161	147937465	147937600	147940575	147940662
155	"FMR1"	"FMR1"	chrX	+	147943130	147943326	147940575	147940662	147944868	147945051
156	"FMR1"	"FMR1"	chrX	+	147943130	147943326	147940575	147940662	147944943	147945051
157	"CS"	"CS"	chr12	-	56283791	56283857	56282859	56282991	56285915	56286023
158	"RTCA"	"RTCA"	chr1	+	100267499	100267538	100266523	100266624	100268151	100268295
159	"RTCA"	"RTCA"	chr1	+	100274823	100274965	100273393	100273452	100275598	100275723
160	"STK16"	"STK16"	chr2	+	219247112	219247246	219246656	219246876	219247414	219247535
161	"STK16"	"STK16"	chr2	+	219247661	219247757	219247414	219247535	219248192	219248314
162	"SPRED2"	"SPRED2"	chr2	-	65334604	65334773	65331986	65332051	65344718	65344896
163	"AKAP8L"	"AKAP8L"	chr19	-	15403474	15403555	15401149	15401603	15403657	15403715
164	"AKAP8L"	"AKAP8L"	chr19	-	15404009	15404042	15403474	15403715	15410519	15410594
165	"AKAP8L"	"AKAP8L"	chr19	-	15400294	15400358	15399301	15399410	15400793	15400864
166	"AKAP8L"	"AKAP8L"	chr19	-	15403657	15403715	15403474	15403555	15404009	15404042
167	"AKAP8L"	"AKAP8L"	chr19	-	15398629	15398766	15397713	15397855	15399301	15399410
168	"ADH1B"	"ADH1B"	chr4	-	99320792	99320914	99318784	99318886	99321313	99321442
169	"USP43"	"USP43"	chr17	+	9709955	9710114	9701351	9701700	9711967	9712132
170	"URB2"	"URB2"	chr1	+	229651234	229651322	229647509	229647752	229654248	229654388
171	"URB2"	"URB2"	chr1	+	229645858	229645969	229643532	229643693	229647509	229647752
172	"DPF3"	"DPF3"	chr14	-	72879803	72879947	72771732	72771893	72894056	72894116
173	"DDX5"	"DDX5"	chr17	-	64502009	64502069	64498255	64500326	64502161	64502223
174	"DDX5"	"DDX5"	chr17	-	64500548	64500773	64498255	64500326	64502009	64502069
175	"PPP2R4"	"PPP2R4"	chr9	+	129127963	129128068	129123051	129123138	129128984	129129110
176	"PPP2R4"	"PPP2R4"	chr9	+	129123051	129123138	129120512	129120610	129128984	129129110
177	"PPP2R4"	"PPP2R4"	chr9	+	129131521	129131639	129128984	129129110	129134794	129134894
178	"PPP2R4"	"PPP2R4"	chr9	+	129128984	129129110	129123051	129123138	129131521	129131639
179	"HNF4A"	"HNF4A"	chr20	+	44402553	44402644	44401255	44401487	44406057	44406232
180	"HNF4A"	"HNF4A"	chr20	+	44390457	44390679	44355800	44355853	44406057	44406232
181	"IRAK4"	"IRAK4"	chr12	+	43760924	43760972	43758943	43759016	43768102	43768272
182	"IRAK4"	"IRAK4"	chr12	+	43768102	43768272	43758943	43759016	43772179	43772362
183	"IRAK4"	"IRAK4"	chr12	+	43771219	43771365	43768102	43768272	43772179	43772362
184	"TTC26"	"TTC26"	chr7	+	139137846	139137939	139134654	139134792	139139889	139140004
185	"TTC26"	"TTC26"	chr7	+	139187405	139187539	139181091	139181198	139189320	139191986
186	"MTFR1L"	"MTFR1L"	chr1	+	25823018	25823128	25819905	25820029	25823643	25823748
187	"RBM5"	"RBM5"	chr3	+	50092042	50092208	50090381	50090451	50093719	50093875
188	"RBM5"	"RBM5"	chr3	+	50100531	50100605	50099981	50100051	50103082	50103166
189	"RBM5"	"RBM5"	chr3	+	50110678	50110770	50109602	50109688	50113382	50113544
190	"RBM5"	"RBM5"	chr3	+	50104247	50104308	50103082	50103166	50105076	50105142
191	"RBM5"	"RBM5"	chr3	+	50110378	50110463	50109602	50109688	50110678	50110770
192	"ENTPD7"	"ENTPD7"	chr10	+	99698533	99698858	99695955	99696122	99700972	99701058
193	"B4GALT1"	"B4GALT1"	chr9	-	33115990	33116113	33113773	33113878	33120418	33120606
194	"B4GALT1"	"B4GALT1"	chr9	-	33120418	33120606	33113773	33113878	33135188	33135424
195	"IVD"	"IVD"	chr15	+	40407635	40407725	40405484	40405971	40407938	40407990
196	"CENPU"	"CENPU"	chr4	-	184700819	184700881	184697646	184697803	184702088	184702136
197	"CHORDC1"	"CHORDC1"	chr11	-	90215173	90215230	90214017	90214175	90218134	90218184
198	"CHORDC1"	"CHORDC1"	chr11	-	90205459	90205565	90203307	90203427	90206201	90206272
199	"BCO2"	"BCO2"	chr11	+	112179277	112179482	112176365	112176458	112193473	112193697
200	"TAF4B"	"TAF4B"	chr18	+	26295194	26295314	26293425	26293531	26315228	26315398
201	"C1orf116"	"C1orf116"	chr1	-	207027493	207027679	207024886	207025064	207032578	207032756
202	"ERC1"	"ERC1"	chr12	+	1181924	1182065	1180539	1180677	1183280	1183421
203	"ERC1"	"ERC1"	chr12	+	1410388	1410453	1408148	1408247	1444561	1444750
204	"ERC1"	"ERC1"	chr12	+	1480842	1480898	1444561	1444750	1490092	1495933
205	"ERC1"	"ERC1"	chr12	+	1371832	1371977	1289851	1290012	1408148	1408247
206	"ERC1"	"ERC1"	chr12	+	1112214	1112298	1110191	1110347	1115865	1116033
207	"ERC1"	"ERC1"	chr12	+	1204500	1204512	1189858	1190052	1236768	1236904
208	"ERC1"	"ERC1"	chr12	+	1263033	1263165	1236768	1236904	1289851	1290012
209	"HDGFRP3"	"HDGFRP3"	chr15	-	83163998	83164075	83157902	83158041	83207330	83208018
210	"HDGFRP3"	"HDGFRP3"	chr15	-	83157414	83157573	83151214	83151361	83157902	83158041
211	"RALGDS"	"RALGDS"	chr9	-	133110295	133110489	133106644	133106748	133112041	133112152
212	"FAM98C"	"FAM98C"	chr19	+	38406909	38407077	38405518	38405635	38408750	38409088
213	"CRAMP1L"	"CRAMP1L"	chr16	+	1667334	1667400	1666421	1666600	1667961	1668193
214	"CRAMP1L"	"CRAMP1L"	chr16	+	1666072	1666177	1665056	1665138	1666421	1666600
215	"MCM3"	"MCM3"	chr6	-	52283293	52283406	52282652	52282861	52284596	52284881
216	"ARHGEF2"	"ARHGEF2"	chr1	-	155966819	155966887	155966415	155966479	155969155	155969300
217	"ARHGEF2"	"ARHGEF2"	chr1	-	155961660	155961909	155958319	155958396	155962104	155962222
218	"ARHGEF2"	"ARHGEF2"	chr1	-	155965630	155965760	155965302	155965412	155966415	155966479
219	"RPGRIP1L"	"RPGRIP1L"	chr16	-	53638309	53638411	53637694	53637854	53641032	53641116
220	"RPGRIP1L"	"RPGRIP1L"	chr16	-	53622218	53622356	53619024	53619208	53636438	53636512
221	"ADPRHL1"	"ADPRHL1"	chr13	-	113428951	113429092	113425051	113425179	113433741	113433867
222	"LUC7L2"	"LUC7L2"	chr7	+	139374400	139374471	139359845	139360322	139376061	139376156
223	"ATP6V1H"	"ATP6V1H"	chr8	-	53743576	53743690	53715542	53716024	53769617	53769743
224	"ATP6V1H"	"ATP6V1H"	chr8	-	53756554	53756656	53743576	53743690	53769617	53769743
225	"ATP6V1H"	"ATP6V1H"	chr8	-	53811163	53811217	53801798	53801896	53814661	53814766
226	"ATP6V1H"	"ATP6V1H"	chr8	-	53771988	53772167	53769617	53769743	53795646	53795839
227	"KIN"	"KIN"	chr10	-	7774830	7774891	7769215	7769345	7778837	7779019
228	"KIN"	"KIN"	chr10	-	7780263	7780307	7780055	7780178	7787819	7788027
229	"KIN"	"KIN"	chr10	-	7775750	7775799	7774830	7774891	7778837	7779019
230	"KIN"	"KIN"	chr10	-	7783080	7783175	7780263	7780307	7787819	7788027
231	"FAM96A"	"FAM96A"	chr15	-	64081101	64081151	64075491	64075537	64088686	64088851
232	"FAM96A"	"FAM96A"	chr15	-	64090197	64090315	64088686	64088851	64093644	64094008
233	"FAM96A"	"FAM96A"	chr15	-	64088686	64088851	64072558	64075537	64093644	64094008
234	"LY96"	"LY96"	chr8	+	74004795	74004885	73991328	73991554	74010000	74010129
235	"ABL2"	"ABL2"	chr1	-	179126376	179126672	179121594	179121867	179131310	179131481
236	"ABL2"	"ABL2"	chr1	-	179133311	179133374	179131310	179131481	179142932	179143089
237	"ABL2"	"ABL2"	chr1	-	179133311	179133374	179131310	179131481	179229240	179229684
238	"ABL2"	"ABL2"	chr1	-	179120189	179120274	179118586	179118764	179121594	179121867
239	"PLAGL1"	"PLAGL1"	chr6	-	143985134	143985174	143968906	143968978	144064467	144064599
240	"PLAGL1"	"PLAGL1"	chr6	-	143985134	143985174	143968906	143968978	144064450	144064598
241	"PLAGL1"	"PLAGL1"	chr6	-	143985134	143985174	143968906	143968978	144008089	144008416
242	"PLAGL1"	"PLAGL1"	chr6	-	143964786	143964818	143960468	143960542	143966157	143966198
243	"PLAGL1"	"PLAGL1"	chr6	-	143964786	143964818	143960468	143960542	143968906	143968978
244	"PLAGL1"	"PLAGL1"	chr6	-	143964786	143964818	143947984	143948460	143968906	143968978
245	"PLAGL1"	"PLAGL1"	chr6	-	143965849	143966198	143964786	143964818	143968906	143968978
246	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966285	143964786	143964818	143968906	143968978
247	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960542	143940299	143942663	143964786	143964818
248	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960542	143947984	143948460	143968906	143968978
249	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960542	143947984	143948460	143964786	143964818
250	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966212	143964786	143964818	143968906	143968978
251	"PLAGL1"	"PLAGL1"	chr6	-	143965179	143965303	143964786	143964818	143966157	143966285
252	"PLAGL1"	"PLAGL1"	chr6	-	143947984	143948460	143940299	143942663	143960468	143960556
253	"PLAGL1"	"PLAGL1"	chr6	-	143947984	143948460	143940299	143942663	143964786	143964818
254	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960556	143940299	143942663	143964786	143964818
255	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960556	143947984	143948460	143964786	143964818
256	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966230	143964786	143964818	143968906	143968978
257	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960580	143947984	143948460	143964786	143964818
258	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966198	143964786	143964818	143968906	143968978
259	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966198	143960468	143960542	143968906	143968978
260	"VCPKMT"	"VCPKMT"	chr14	-	50112614	50112719	50108631	50109713	50114284	50114404
261	"CCDC66"	"CCDC66"	chr3	+	56571180	56571302	56566949	56567053	56592969	56593101
262	"ARHGAP29"	"ARHGAP29"	chr1	-	94231406	94231643	94220257	94220392	94237414	94237751
263	"ARHGAP29"	"ARHGAP29"	chr1	-	94202917	94202998	94202543	94202732	94203099	94203210
264	"OAS2"	"OAS2"	chr12	+	112987037	112987308	112978468	112978785	112995295	112995474
265	"TRA2A"	"TRA2A"	chr7	-	23512893	23513082	23507419	23507535	23516362	23516528
266	"TRA2A"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531180	23531270
267	"TRA2A"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531788	23532041
268	"TRA2A"	"TRA2A"	chr7	-	23531180	23531270	23522131	23522432	23531788	23532041
269	"TRA2A"	"TRA2A"	chr7	-	23531180	23531270	23521706	23521840	23531788	23532041
270	"AK3"	"AK3"	chr9	-	4722505	4722625	4719134	4719307	4740936	4741309
271	"CCDC59"	"CCDC59"	chr12	-	82354494	82354594	82352303	82353312	82356959	82357269
272	"GDI1"	"GDI1"	chrX	+	154442110	154442255	154441622	154441794	154442373	154442428
273	"GDI1"	"GDI1"	chrX	+	154439005	154439140	154438764	154438864	154439940	154440139
274	"OBP2A"	"OBP2A"	chr9	+	135546777	135546911	135546138	135546252	135547177	135547248
275	"MRPL10"	"MRPL10"	chr17	-	47829138	47829236	47828500	47828670	47831459	47831541
276	"PIK3R5"	"PIK3R5"	chr17	-	8889972	8890126	8889138	8889222	8890737	8890912
277	"PIK3R5"	"PIK3R5"	chr17	-	8890737	8890912	8889972	8890126	8893585	8893655
278	"PIK3R5"	"PIK3R5"	chr17	-	8911391	8911507	8909073	8909174	8965595	8965712
279	"SLC35C2"	"SLC35C2"	chr20	-	46363085	46363222	46358386	46358958	46364370	46364458
280	"RBM47"	"RBM47"	chr4	-	40436440	40436647	40432650	40432862	40437770	40438924
281	"SSPO"	"SSPO"	chr7	+	149782846	149783022	149782181	149782299	149783106	149783334
282	"SPOPL"	"SPOPL"	chr2	+	138550156	138550294	138501779	138502119	138550482	138550604
283	"TCEAL4"	"TCEAL4"	chrX	+	103585858	103586107	103585484	103585624	103586218	103586291
284	"TCEAL4"	"TCEAL4"	chrX	+	103586218	103586291	103585484	103585624	103586648	103587736
285	"TCEAL4"	"TCEAL4"	chrX	+	103586218	103586291	103585484	103585624	103586653	103587736
286	"SAAL1"	"SAAL1"	chr11	-	18083534	18083731	18081410	18081503	18086865	18087054
287	"ANKFY1"	"ANKFY1"	chr17	-	4235771	4235890	4216982	4217118	4242255	4242448
288	"CXorf56"	"CXorf56"	chrX	-	119545462	119545504	119544352	119544491	119560267	119560385
289	"JAK1"	"JAK1"	chr1	-	64860104	64860262	64857655	64857779	64864786	64864972
