ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
43	"MRPL52"	"MRPL52"	chr14	+	22829882	22830110	22829882	22829940	22830049	22830110
44	"MRPL52"	"MRPL52"	chr14	+	22829882	22830110	22829882	22829948	22830049	22830110
45	"PRH2"	"PRH2"	chr12	+	10930661	10934845	10930661	10931080	10932225	10934845
46	"PRH2"	"PRH2"	chr12	+	129367	133551	129367	129786	130931	133551
47	"C4orf26"	"C4orf26"	chr4	+	75564113	75565893	75564113	75564252	75564387	75565893
48	"C11orf98"	"C11orf98"	chr11	-	62664848	62665216	62664848	62664973	62665130	62665216
49	"ARFGAP1"	"ARFGAP1"	chr20	+	63284114	63284922	63284114	63284512	63284865	63284922
50	"HNRNPM"	"HNRNPM"	chr19	+	8465323	8465515	8465323	8465362	8465479	8465515
51	"SLC30A7"	"SLC30A7"	chr1	+	100974809	100981755	100974809	100974902	100975218	100981755
52	"C3orf35"	"C3orf35"	chr3	+	37417018	37418374	37417018	37417142	37417252	37418374
53	"METTL17"	"METTL17"	chr14	+	20996526	20997035	20996526	20996711	20996784	20997035
54	"FRMD5"	"FRMD5"	chr15	-	43870760	43874462	43870760	43873939	43874118	43874462
55	"FKTN"	"FKTN"	chr9	+	105635050	105641118	105635050	105635148	105640100	105641118
56	"GALNT16"	"GALNT16"	chr14	+	69352030	69354473	69352030	69352170	69353331	69354473
57	"THEMIS2"	"THEMIS2"	chr1	+	27881970	27883043	27881970	27882125	27882512	27883043
58	"AP1G2"	"AP1G2"	chr14	-	23565815	23566160	23565815	23565892	23566063	23566160
59	"TAF1C"	"TAF1C"	chr16	-	84181327	84181663	84181327	84181463	84181591	84181663
60	"TAF1C"	"TAF1C"	chr16	-	84181745	84182058	84181745	84181863	84181941	84182058
61	"MRPL30"	"MRPL30"	chr2	+	99195572	99199557	99195572	99195756	99197153	99199557
62	"CRB1"	"CRB1"	chr1	+	197420999	197421956	197420999	197421541	197421749	197421956
63	"PELP1"	"PELP1"	chr17	-	4671690	4673145	4671690	4671882	4672113	4673145
64	"RIBC1"	"RIBC1"	chrX	+	53430395	53431120	53430395	53430790	53430906	53431120
65	"MDFI"	"MDFI"	chr6	+	41638456	41638825	41638456	41638652	41638738	41638825
66	"PHYKPL"	"PHYKPL"	chr5	-	178231668	178232822	178231668	178231866	178232491	178232822
67	"C15orf48"	"C15orf48"	chr15	+	45430528	45430832	45430528	45430655	45430769	45430832
68	"FMO5"	"FMO5"	chr1	-	147224894	147225638	147224894	147225066	147225286	147225638
69	"FMO5"	"FMO5"	chr1	-	147224894	147225638	147224894	147225066	147225276	147225638
70	"POU5F1"	"POU5F1"	chr6	-	2647996	2649609	2647996	2648127	2648360	2649609
71	"POU5F1"	"POU5F1"	chr6	-	2469352	2470601	2469352	2469473	2469962	2470601
72	"POU5F1"	"POU5F1"	chr6	-	2468988	2470601	2468988	2469119	2469352	2470601
73	"POU5F1"	"POU5F1"	chr6	-	31165926	31167170	31165926	31166047	31166533	31167170
74	"POU5F1"	"POU5F1"	chr6	-	2423969	2425218	2423969	2424090	2424579	2425218
75	"POU5F1"	"POU5F1"	chr6	-	2424888	2426501	2424888	2425019	2425252	2426501
76	"POU5F1"	"POU5F1"	chr6	-	2476073	2477686	2476073	2476204	2476437	2477686
77	"POU5F1"	"POU5F1"	chr6	-	2476437	2477686	2476437	2476558	2477047	2477686
78	"POU5F1"	"POU5F1"	chr6	-	31165570	31167170	31165570	31165701	31165926	31167170
79	"POU5F1"	"POU5F1"	chr6	-	2510051	2511300	2510051	2510172	2510661	2511300
80	"POU5F1"	"POU5F1"	chr6	-	2423605	2425218	2423605	2423736	2423969	2425218
81	"POU5F1"	"POU5F1"	chr6	-	2648360	2649609	2648360	2648481	2648970	2649609
82	"POU5F1"	"POU5F1"	chr6	-	2509687	2511300	2509687	2509818	2510051	2511300
83	"POU5F1"	"POU5F1"	chr6	-	2425252	2426501	2425252	2425373	2425862	2426501
84	"ITPRIPL2"	"ITPRIPL2"	chr16	+	19113931	19121630	19113931	19114124	19114640	19121630
85	"ZNF282"	"ZNF282"	chr7	+	149223811	149226248	149223811	149223990	149224247	149226248
86	"SPAG6"	"SPAG6"	chr10	+	22345444	22345818	22345444	22345636	22345722	22345818
87	"CHPF2"	"CHPF2"	chr7	+	151232488	151234274	151232488	151232814	151234085	151234274
88	"PDE4D"	"PDE4D"	chr5	-	59038858	59039512	59038858	59038971	59039057	59039512
89	"BCL2L11"	"BCL2L11"	chr2	+	111123732	111124139	111123732	111123869	111124049	111124139
90	"KRT72"	"KRT72"	chr12	-	52585588	52586172	52585588	52585835	52585962	52586172
91	"RECQL5"	"RECQL5"	chr17	-	75649713	75651265	75649713	75650718	75651185	75651265
92	"BOLA3-AS1"	"BOLA3-AS1"	chr2	+	74147980	74148478	74147980	74148223	74148349	74148478
93	"RPL41"	"RPL41"	chr12	+	56116589	56116799	56116589	56116659	56116774	56116799
94	"THYN1"	"THYN1"	chr11	-	134252839	134253366	134252839	134252916	134253226	134253366
95	"THYN1"	"THYN1"	chr11	-	134252839	134253366	134252839	134252916	134253298	134253366
96	"MED6"	"MED6"	chr14	-	70583220	70584943	70583220	70584130	70584816	70584943
97	"SEPT3"	"SEPT3"	chr22	+	41994620	41998221	41994620	41994714	41996901	41998221
98	"MTF2"	"MTF2"	chr1	+	93110229	93110428	93110229	93110246	93110326	93110428
99	"CLDN19"	"CLDN19"	chr1	-	42733092	42736030	42733092	42735134	42735877	42736030
100	"AKR1A1"	"AKR1A1"	chr1	+	45550782	45551155	45550782	45550876	45550965	45551155
101	"PSMG3-AS1"	"PSMG3-AS1"	chr7	+	1584383	1589625	1584383	1585617	1587820	1589625
102	"NUDT16"	"NUDT16"	chr3	+	131383161	131388830	131383161	131383272	131383343	131388830
103	"SPRTN"	"SPRTN"	chr1	+	231351303	231355027	231351303	231351571	231352609	231355027
104	"OSCAR"	"OSCAR"	chr19	-	54094667	54096153	54094667	54095357	54095871	54096153
105	"OSCAR"	"OSCAR"	chr19	-	69045	70531	69045	69735	70249	70531
106	"RECQL"	"RECQL"	chr12	-	21501169	21501669	21501169	21501215	21501412	21501669
107	"SLC33A1"	"SLC33A1"	chr3	-	155826510	155828377	155826510	155826819	155828181	155828377
108	"METTL23"	"METTL23"	chr17	+	76726829	76727213	76726829	76726879	76726969	76727213
109	"P3H1"	"P3H1"	chr1	-	42746334	42747412	42746334	42746852	42747271	42747412
110	"P3H1"	"P3H1"	chr1	-	42746334	42747412	42746334	42746852	42747252	42747412
111	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466
112	"CPT1B"	"CPT1B"	chr22	-	50568860	50569421	50568860	50569081	50569335	50569421
113	"CRYBA2"	"CRYBA2"	chr2	-	218993015	218993405	218993015	218993180	218993374	218993405
114	"TRMT112"	"TRMT112"	chr11	-	64316491	64317147	64316491	64316968	64317057	64317147
115	"C2CD5"	"C2CD5"	chr12	-	22544060	22544546	22544060	22544179	22544319	22544546
116	"NISCH"	"NISCH"	chr3	+	52480183	52481910	52480183	52480295	52480878	52481910
117	"FGF1"	"FGF1"	chr5	-	142697621	142698070	142697621	142697715	142697912	142698070
118	"FGF1"	"FGF1"	chr5	-	142685956	142686495	142685956	142686088	142686435	142686495
119	"TMEM159"	"TMEM159"	chr16	+	21160977	21161278	21160977	21161008	21161084	21161278
120	"IGF2-AS"	"IGF2-AS"	chr11	+	2146244	2148666	2146244	2146527	2147317	2148666
121	"TRMT2B"	"TRMT2B"	chrX	-	101051250	101051733	101051250	101051366	101051643	101051733
122	"CPEB1"	"CPEB1"	chr15	-	360448	360928	360448	360637	360738	360928
123	"CPEB1"	"CPEB1"	chr15	-	82571343	82571823	82571343	82571532	82571633	82571823
124	"KAT8"	"KAT8"	chr16	+	31130745	31131393	31130745	31130900	31131194	31131393
125	"FIGNL1"	"FIGNL1"	chr7	-	50444128	50447297	50444128	50447016	50447131	50447297
126	"ZDHHC4"	"ZDHHC4"	chr7	+	6577433	6577720	6577433	6577498	6577589	6577720
127	"DMAP1"	"DMAP1"	chr1	+	44213452	44213858	44213452	44213527	44213748	44213858
128	"DMAP1"	"DMAP1"	chr1	+	44213452	44213858	44213452	44213527	44213708	44213858
129	"ZNF503-AS1"	"ZNF503-AS1"	chr10	+	75358509	75359049	75358509	75358707	75358938	75359049
130	"PPCS"	"PPCS"	chr1	+	42456493	42457350	42456493	42456724	42457246	42457350
131	"PPCS"	"PPCS"	chr1	+	42456493	42457350	42456493	42457073	42457246	42457350
132	"PPCS"	"PPCS"	chr1	+	42456493	42457350	42456493	42456583	42457246	42457350
133	"PPCS"	"PPCS"	chr1	+	42456493	42457350	42456493	42456628	42457246	42457350
134	"C2orf49"	"C2orf49"	chr2	+	105342847	105343223	105342847	105342974	105343100	105343223
135	"ID1"	"ID1"	chr20	+	31605282	31606514	31605282	31605813	31606052	31606514
136	"PTPRO"	"PTPRO"	chr12	+	15594936	15598331	15594936	15595057	15596089	15598331
137	"ATPIF1"	"ATPIF1"	chr1	+	28236360	28238105	28236360	28236452	28237836	28238105
138	"ATPIF1"	"ATPIF1"	chr1	+	28236360	28238105	28236360	28236452	28237760	28238105
139	"BCAR4"	"BCAR4"	chr16	-	11828321	11828832	11828321	11828391	11828698	11828832
140	"BCAR4"	"BCAR4"	chr16	-	11828321	11828832	11828321	11828606	11828698	11828832
141	"APH1A"	"APH1A"	chr1	-	150265398	150266656	150265398	150266194	150266532	150266656
142	"FNDC5"	"FNDC5"	chr1	-	32862267	32864797	32862267	32864299	32864663	32864797
143	"FNDC5"	"FNDC5"	chr1	-	32862267	32864797	32862267	32863752	32864765	32864797
144	"DBF4B"	"DBF4B"	chr17	+	44750594	44752268	44750594	44750677	44751939	44752268
145	"C7orf26"	"C7orf26"	chr7	+	6599828	6600356	6599828	6599892	6600126	6600356
146	"CUTA"	"CUTA"	chr6	-	4866205	4867013	4866205	4866541	4866683	4867013
147	"CUTA"	"CUTA"	chr6	-	4866205	4867013	4866205	4866420	4866683	4867013
148	"CUTA"	"CUTA"	chr6	-	4866205	4867013	4866205	4866420	4866811	4867013
149	"CUTA"	"CUTA"	chr6	-	4866205	4867013	4866205	4866420	4866593	4867013
150	"CUTA"	"CUTA"	chr6	-	33417480	33418288	33417480	33417695	33417958	33418288
151	"CUTA"	"CUTA"	chr6	-	33417480	33418288	33417480	33417816	33417958	33418288
152	"CUTA"	"CUTA"	chr6	-	33417480	33418288	33417480	33417695	33417868	33418288
153	"CUTA"	"CUTA"	chr6	-	33417480	33418288	33417480	33417695	33418086	33418288
154	"VEPH1"	"VEPH1"	chr3	-	157459620	157460355	157459620	157459926	157460180	157460355
155	"TREX1"	"TREX1"	chr3	+	48465519	48467645	48465519	48466169	48466667	48467645
156	"TREX1"	"TREX1"	chr3	+	48465519	48467645	48465519	48466309	48466629	48467645
157	"TRO"	"TRO"	chrX	+	54928602	54931031	54928602	54928710	54930740	54931031
158	"RUSC1"	"RUSC1"	chr1	+	155325101	155325490	155325101	155325178	155325414	155325490
159	"RUSC1"	"RUSC1"	chr1	+	155325101	155325490	155325101	155325178	155325315	155325490
160	"TRAPPC11"	"TRAPPC11"	chr4	+	183708406	183708574	183708406	183708416	183708535	183708574
161	"ART5"	"ART5"	chr11	-	3641805	3642316	3641805	3641864	3642177	3642316
162	"BSDC1"	"BSDC1"	chr1	-	32364632	32368550	32364632	32366654	32368446	32368550
163	"ELP5"	"ELP5"	chr17	+	7258587	7259940	7258587	7258683	7259570	7259940
164	"ELP5"	"ELP5"	chr17	+	7252200	7252596	7252200	7252337	7252425	7252596
165	"MAPK11"	"MAPK11"	chr22	-	50263712	50265027	50263712	50263877	50264794	50265027
166	"DKC1"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273
167	"DKC1"	"DKC1"	chrX	+	154774601	154775273	154774601	154774690	154775194	154775273
168	"DKC1"	"DKC1"	chrX	+	154766215	154767061	154766215	154766400	154766996	154767061
169	"DKC1"	"DKC1"	chrX	+	154764898	154765530	154764898	154764966	154765443	154765530
170	"MIR762HG"	"MIR762HG"	chr16	+	30875459	30876118	30875459	30875486	30876029	30876118
171	"TRHDE-AS1"	"TRHDE-AS1"	chr12	-	72271822	72273509	72271822	72272162	72272764	72273509
172	"HMGN3"	"HMGN3"	chr6	-	79201244	79202389	79201244	79201726	79202275	79202389
173	"HMGN3"	"HMGN3"	chr6	-	79201244	79202389	79201244	79201726	79202316	79202389
174	"AUP1"	"AUP1"	chr2	-	74528750	74529282	74528750	74528935	74529131	74529282
175	"RAD54L"	"RAD54L"	chr1	+	46247694	46248408	46247694	46247746	46248343	46248408
176	"SRSF1"	"SRSF1"	chr17	-	58000918	58005973	58000918	58004001	58004922	58005973
177	"SRSF1"	"SRSF1"	chr17	-	58000918	58005973	58000918	58005600	58005800	58005973
178	"PRB1"	"PRB1"	chr12	-	548036	548965	548036	548293	548752	548965
179	"PRB1"	"PRB1"	chr12	-	11353073	11354002	11353073	11353330	11353789	11354002
180	"PRB1"	"PRB1"	chr12	-	11353073	11354002	11353073	11353390	11353789	11354002
181	"PRB1"	"PRB1"	chr12	-	548036	548965	548036	548353	548752	548965
182	"BCDIN3D-AS1"	"BCDIN3D-AS1"	chr12	+	49838421	49841154	49838421	49838640	49840126	49841154
183	"SLITRK1"	"SLITRK1"	chr13	-	83877204	83882393	83877204	83881560	83882003	83882393
184	"LOC730101"	"LOC730101"	chr6	+	52666388	52669153	52666388	52666518	52666748	52669153
185	"TRIM5"	"TRIM5"	chr11	-	5663194	5665682	5663194	5665395	5665655	5665682
186	"TRIM5"	"TRIM5"	chr11	-	5663194	5665682	5663194	5664173	5665655	5665682
187	"BCKDHB"	"BCKDHB"	chr6	+	80343663	80346270	80343663	80343812	80345974	80346270
188	"GPIHBP1"	"GPIHBP1"	chr8	+	143215258	143217170	143215258	143215338	143217010	143217170
189	"ACBD4"	"ACBD4"	chr17	+	45135646	45136232	45135646	45135953	45136107	45136232
190	"ICAM4"	"ICAM4"	chr19	+	10287535	10288584	10287535	10287838	10287985	10288584
191	"CSF1"	"CSF1"	chr1	+	109923165	109924190	109923165	109923711	109924059	109924190
192	"ANKMY1"	"ANKMY1"	chr2	-	240523884	240524381	240523884	240524009	240524303	240524381
193	"ATP7B"	"ATP7B"	chr13	-	51973934	51975168	51973934	51974084	51974417	51975168
194	"CD209"	"CD209"	chr19	-	7747305	7747578	7747305	7747365	7747465	7747578
195	"SKP1"	"SKP1"	chr5	-	134156390	134158595	134156390	134157768	134158454	134158595
196	"ERCC2"	"ERCC2"	chr19	-	45370132	45370587	45370132	45370232	45370535	45370587
197	"DET1"	"DET1"	chr15	-	88530622	88531715	88530622	88531473	88531612	88531715
198	"LARP1B"	"LARP1B"	chr4	+	128107138	128108904	128107138	128107313	128107882	128108904
199	"APLNR"	"APLNR"	chr11	-	57233577	57237453	57233577	57233858	57235791	57237453
200	"WRAP53"	"WRAP53"	chr17	+	7688348	7689079	7688348	7688561	7688647	7689079
201	"ARL6IP4"	"ARL6IP4"	chr12	+	122982468	122982913	122982468	122982538	122982619	122982913
202	"ACTG1"	"ACTG1"	chr17	-	81509970	81510833	81509970	81510329	81510478	81510833
203	"KIF18B"	"KIF18B"	chr17	-	44924710	44926499	44924710	44926186	44926413	44926499
204	"ATP5G3"	"ATP5G3"	chr2	-	175176257	175179250	175176257	175178402	175179056	175179250
205	"JUP"	"JUP"	chr17	-	41754606	41755895	41754606	41755432	41755729	41755895
206	"CTPS1"	"CTPS1"	chr1	+	41008658	41008890	41008658	41008714	41008793	41008890
207	"DHRS12"	"DHRS12"	chr13	-	51767992	51769293	51767992	51768296	51769155	51769293
208	"VIPAS39"	"VIPAS39"	chr14	-	77457094	77457640	77457094	77457365	77457494	77457640
209	"CSF3R"	"CSF3R"	chr1	-	36466042	36466827	36466042	36466200	36466620	36466827
210	"SUMO1"	"SUMO1"	chr2	-	202206179	202207321	202206179	202206803	202207252	202207321
211	"CSK"	"CSK"	chr15	+	74782083	74782720	74782083	74782148	74782667	74782720
212	"HNRNPLL"	"HNRNPLL"	chr2	-	38602437	38603036	38602437	38602600	38602856	38603036
213	"HUS1"	"HUS1"	chr7	-	47963287	47965438	47963287	47964632	47965299	47965438
214	"MCM7"	"MCM7"	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403
215	"MRPS12"	"MRPS12"	chr19	+	38930953	38931343	38930953	38931171	38931275	38931343
216	"TMEM67"	"TMEM67"	chr8	+	93754843	93755137	93754843	93754909	93755019	93755137
217	"EPM2A"	"EPM2A"	chr6	-	145625303	145627693	145625303	145625724	145627487	145627693
218	"LGR5"	"LGR5"	chr12	+	71583646	71586308	71583646	71583912	71584494	71586308
219	"LOC171391"	"LOC171391"	chr11	+	783529	784284	783529	783671	784023	784284
220	"SYTL3"	"SYTL3"	chr6	+	158662749	158663378	158662749	158662812	158663204	158663378
221	"HILS1"	"HILS1"	chr17	-	50171427	50172476	50171427	50172031	50172177	50172476
222	"DDIT3"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517519	57517705	57517753
223	"DDIT3"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517595	57517705	57517753
224	"DDIT3"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517424	57517705	57517753
225	"DDIT3"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517542	57517705	57517753
226	"DDIT3"	"DDIT3"	chr12	-	57517268	57517753	57517268	57517438	57517705	57517753
227	"JRK"	"JRK"	chr8	-	142657459	142658944	142657459	142658080	142658821	142658944
228	"JRK"	"JRK"	chr8	-	142657459	142666520	142657459	142658944	142664477	142666520
229	"JPH3"	"JPH3"	chr16	+	87696579	87698155	87696579	87696802	87697839	87698155
230	"OPRM1"	"OPRM1"	chr6	+	154090951	154091938	154090951	154091472	154091808	154091938
231	"OPRM1"	"OPRM1"	chr6	+	154039101	154039834	154039101	154039305	154039410	154039834
232	"TSNAXIP1"	"TSNAXIP1"	chr16	+	67825666	67826076	67825666	67825836	67825916	67826076
233	"ENG"	"ENG"	chr9	-	127815011	127816053	127815011	127815806	127815942	127816053
234	"PDK1"	"PDK1"	chr2	+	172595828	172599134	172595828	172596023	172597612	172599134
235	"MYBBP1A"	"MYBBP1A"	chr17	-	4538895	4539967	4538895	4538975	4539438	4539967
236	"ARSA"	"ARSA"	chr22	-	50627555	50628173	50627555	50627792	50627945	50628173
237	"ARSA"	"ARSA"	chr22	-	50627555	50628173	50627555	50627792	50627990	50628173
238	"ARSA"	"ARSA"	chr22	-	50627555	50628173	50627555	50627792	50627897	50628173
239	"SLC26A9"	"SLC26A9"	chr1	-	205913047	205915404	205913047	205915183	205915360	205915404
240	"MRPL35"	"MRPL35"	chr2	+	86210479	86213354	86210479	86210613	86212425	86213354
241	"ACADVL"	"ACADVL"	chr17	+	7219830	7220197	7219830	7220046	7220121	7220197
242	"SPNS1"	"SPNS1"	chr16	+	28974774	28975392	28974774	28974863	28975100	28975392
243	"SPNS1"	"SPNS1"	chr16	+	28974774	28975392	28974774	28975100	28975187	28975392
244	"NPRL3"	"NPRL3"	chr16	-	138149	138698	138149	138334	138366	138698
245	"NPRL3"	"NPRL3"	chr16	-	138149	138698	138149	138334	138641	138698
246	"KDM2B"	"KDM2B"	chr12	-	121429095	121430469	121429095	121430163	121430341	121430469
247	"B9D1"	"B9D1"	chr17	-	19343169	19343857	19343169	19343461	19343789	19343857
248	"TSSC4"	"TSSC4"	chr11	+	2402610	2403878	2402610	2402652	2402844	2403878
249	"SRPK3"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213
250	"CDK2AP2"	"CDK2AP2"	chr11	-	67507591	67508187	67507591	67507689	67507859	67508187
251	"NR2C2AP"	"NR2C2AP"	chr19	-	19201410	19202041	19201410	19201563	19201930	19202041
252	"DUX4"	"DUX4"	chr4	+	190173773	190175284	190173773	190175056	190175192	190175284
253	"TRMT2A"	"TRMT2A"	chr22	-	20116882	20117295	20116882	20116972	20117096	20117295
254	"GGTLC2"	"GGTLC2"	chr22	+	22646982	22647290	22646982	22647038	22647140	22647290
255	"KAT5"	"KAT5"	chr11	+	65712001	65712445	65712001	65712279	65712378	65712445
256	"STON2"	"STON2"	chr14	-	81260649	81270872	81260649	81261931	81270669	81270872
257	"RAB24"	"RAB24"	chr5	-	177303171	177303744	177303171	177303320	177303406	177303744
258	"RAB24"	"RAB24"	chr5	-	177302127	177302496	177302127	177302178	177302396	177302496
259	"PDCD6"	"PDCD6"	chr5	+	271620	271821	271620	271690	271775	271821
260	"TMEM205"	"TMEM205"	chr19	-	11345519	11346305	11345519	11345628	11346126	11346305
261	"TMEM205"	"TMEM205"	chr19	-	11345519	11346305	11345519	11345628	11346007	11346305
262	"NLRP2"	"NLRP2"	chr19	+	682159	682456	682159	682314	682383	682456
263	"NLRP2"	"NLRP2"	chr19	+	54969998	54970295	54969998	54970153	54970222	54970295
264	"NLRP2"	"NLRP2"	chr19	+	977521	977818	977521	977676	977745	977818
265	"NLRP2"	"NLRP2"	chr19	+	949984	950281	949984	950139	950208	950281
266	"NLRP2"	"NLRP2"	chr19	+	952480	952777	952480	952635	952704	952777
267	"NLRP2"	"NLRP2"	chr19	+	873396	873693	873396	873551	873620	873693
268	"NLRP2"	"NLRP2"	chr19	+	615200	615497	615200	615355	615424	615497
269	"NLRP2"	"NLRP2"	chr19	+	952070	952367	952070	952225	952294	952367
270	"NLRP2"	"NLRP2"	chr19	+	888363	888660	888363	888518	888587	888660
271	"NLRP2"	"NLRP2"	chr19	+	872753	873050	872753	872908	872977	873050
272	"LEFTY2"	"LEFTY2"	chr1	-	225939755	225940002	225939755	225939871	225939973	225940002
273	"SCAF8"	"SCAF8"	chr6	+	154733377	154733930	154733377	154733503	154733846	154733930
274	"SCAF8"	"SCAF8"	chr6	+	154733377	154733930	154733377	154733550	154733794	154733930
275	"SCAF8"	"SCAF8"	chr6	+	154733377	154733930	154733377	154733503	154733794	154733930
276	"FNBP1L"	"FNBP1L"	chr1	+	93550946	93554661	93550946	93551105	93552408	93554661
277	"SHROOM4"	"SHROOM4"	chrX	-	50591644	50596964	50591644	50592144	50595697	50596964
278	"SCN3B"	"SCN3B"	chr11	-	123653746	123654607	123653746	123653826	123654225	123654607
279	"ZCCHC18"	"ZCCHC18"	chrX	+	104113433	104115847	104113433	104113573	104115251	104115847
280	"PIN1"	"PIN1"	chr19	+	9849089	9849689	9849089	9849201	9849532	9849689
281	"HYAL1"	"HYAL1"	chr3	-	50302056	50303601	50302056	50302980	50303465	50303601
282	"HYAL1"	"HYAL1"	chr3	-	50302056	50303601	50302056	50302205	50303465	50303601
283	"HYAL1"	"HYAL1"	chr3	-	50302056	50303601	50302056	50302623	50303465	50303601
284	"NCDN"	"NCDN"	chr1	+	35557791	35558223	35557791	35557883	35558155	35558223
285	"SEPT4"	"SEPT4"	chr17	-	58520742	58521160	58520742	58520842	58520997	58521160
286	"SEPT4"	"SEPT4"	chr17	-	58521735	58522101	58521735	58521853	58521966	58522101
287	"SEPT4"	"SEPT4"	chr17	-	58526219	58526978	58526219	58526313	58526681	58526978
288	"MEN1"	"MEN1"	chr11	-	64810813	64811294	64810813	64810905	64811033	64811294
289	"ABHD11"	"ABHD11"	chr7	-	73737220	73737735	73737220	73737391	73737561	73737735
290	"GHRL"	"GHRL"	chr3	-	10290715	10291451	10290715	10290990	10291239	10291451
291	"THTPA"	"THTPA"	chr14	+	23555981	23557039	23555981	23556343	23556742	23557039
292	"RAB43"	"RAB43"	chr3	-	129121285	129121804	129121285	129121492	129121743	129121804
