ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
39	"LGI1"	"LGI1"	chr10	+	93796967	93798174	93797748	93798174	93793185	93793350
40	"SPATA8-AS1"	"SPATA8-AS1"	chr15	-	96772004	96772263	96772004	96772136	96772745	96772845
41	"TMX2"	"TMX2"	chr11	+	57737835	57738026	57737912	57738026	57737607	57737668
42	"FMR1"	"FMR1"	chrX	+	147944868	147945051	147944943	147945051	147940575	147940662
43	"FMR1"	"FMR1"	chrX	+	147944868	147945051	147944943	147945051	147943130	147943326
44	"MFSD7"	"MFSD7"	chr4	-	684482	684602	684482	684599	684718	684856
45	"MFSD7"	"MFSD7"	chr4	-	686531	686690	686531	686624	688992	689441
46	"AKAP8L"	"AKAP8L"	chr19	-	15403474	15403715	15403474	15403555	15404009	15404042
47	"MTFR1L"	"MTFR1L"	chr1	+	25829508	25829830	25829617	25829830	25826614	25826826
48	"TAF4B"	"TAF4B"	chr18	+	26292230	26292381	26292245	26292381	26285881	26286499
49	"RALGDS"	"RALGDS"	chr9	-	133109625	133109721	133109625	133109685	133110295	133110489
50	"ARHGEF2"	"ARHGEF2"	chr1	-	155964987	155965131	155964987	155965128	155965302	155965412
51	"METTL9"	"METTL9"	chr16	+	21655226	21657473	21655229	21657473	21624930	21625115
52	"NMB"	"NMB"	chr15	-	84655128	84655409	84655128	84655404	84657175	84657348
53	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960556	143960468	143960542	143964786	143964818
54	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960580	143960468	143960556	143964786	143964818
55	"PLAGL1"	"PLAGL1"	chr6	-	143960468	143960580	143960468	143960542	143964786	143964818
56	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966230	143966157	143966198	143968906	143968978
57	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966285	143966157	143966198	143968906	143968978
58	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966212	143966157	143966198	143968906	143968978
59	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966285	143966157	143966230	143968906	143968978
60	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966230	143966157	143966212	143968906	143968978
61	"PLAGL1"	"PLAGL1"	chr6	-	143966157	143966285	143966157	143966212	143968906	143968978
62	"PEX16"	"PEX16"	chr11	-	45909668	45910312	45909668	45910177	45910897	45910962
63	"TRA2A"	"TRA2A"	chr7	-	23505745	23505813	23505745	23505810	23506137	23506266
64	"GCAT"	"GCAT"	chr22	+	37809948	37810157	37810026	37810157	37807904	37808163
65	"OBP2A"	"OBP2A"	chr9	+	135548642	135548809	135548658	135548809	135547870	135547981
66	"OBP2A"	"OBP2A"	chr9	+	135548642	135548809	135548707	135548809	135547870	135547981
67	"OBP2A"	"OBP2A"	chr9	+	135548658	135548809	135548707	135548809	135547870	135547981
68	"PIK3R5"	"PIK3R5"	chr17	-	8888170	8888953	8888170	8888891	8889138	8889222
69	"SLC35C2"	"SLC35C2"	chr20	-	46355072	46355241	46355072	46355178	46355801	46355874
70	"SLC35C2"	"SLC35C2"	chr20	-	46358386	46358958	46358386	46358763	46364370	46364458
71	"SLC35C2"	"SLC35C2"	chr20	-	46357622	46357773	46357622	46357702	46358386	46358763
72	"EEF1B2"	"EEF1B2"	chr2	+	206159912	206160059	206159958	206160059	206159593	206159684
73	"TCEAL4"	"TCEAL4"	chrX	+	103586648	103587736	103586653	103587736	103585484	103585624
74	"TCEAL4"	"TCEAL4"	chrX	+	103586648	103587736	103586653	103587736	103586218	103586291
75	"ANKFY1"	"ANKFY1"	chr17	-	4182180	4182352	4182180	4182349	4183397	4183551
76	"MYO7A"	"MYO7A"	chr11	+	77199534	77199818	77199648	77199818	77198494	77198621
77	"SRSF10"	"SRSF10"	chr1	-	23971572	23971626	23971572	23971623	23971849	23972012
78	"SRSF10"	"SRSF10"	chr1	-	23964346	23971439	23964346	23967723	23971572	23971626
79	"SRSF10"	"SRSF10"	chr1	-	23964346	23971439	23964346	23967956	23971572	23971626
80	"SRSF10"	"SRSF10"	chr1	-	23964346	23967956	23964346	23967723	23971572	23971626
81	"SYCP1"	"SYCP1"	chr1	+	114855437	114855572	114855440	114855572	114854802	114855018
82	"CD300LG"	"CD300LG"	chr17	+	43853806	43854044	43853959	43854044	43848557	43848893
83	"NOX5"	"NOX5"	chr15	+	69031517	69031812	69031601	69031812	69028214	69028365
84	"WDTC1"	"WDTC1"	chr1	+	27297047	27297156	27297050	27297156	27296325	27296401
85	"MMS19"	"MMS19"	chr10	-	97466058	97466159	97466058	97466156	97466503	97466585
86	"MMS19"	"MMS19"	chr10	-	97477346	97477416	97477346	97477404	97477854	97477929
87	"COPA"	"COPA"	chr1	-	160305432	160305598	160305432	160305571	160305687	160305773
88	"COBLL1"	"COBLL1"	chr2	-	164694268	164695836	164694268	164695833	164699404	164699499
89	"PSG11"	"PSG11"	chr19	-	43007656	43008110	43007656	43008042	43009957	43010041
90	"TMEM136"	"TMEM136"	chr11	+	120327121	120327640	120327440	120327640	120325128	120325368
91	"TMEM136"	"TMEM136"	chr11	+	120327121	120327640	120327465	120327640	120325128	120325368
92	"TMEM136"	"TMEM136"	chr11	+	120327121	120327640	120327451	120327640	120325128	120325368
93	"TMEM136"	"TMEM136"	chr11	+	120327440	120327640	120327465	120327640	120325128	120325368
94	"TMEM136"	"TMEM136"	chr11	+	120327440	120327640	120327451	120327640	120325128	120325368
95	"TMEM136"	"TMEM136"	chr11	+	120327451	120327640	120327465	120327640	120325128	120325368
96	"SUPT5H"	"SUPT5H"	chr19	+	39445803	39445965	39445878	39445965	39445545	39445637
97	"DOC2A"	"DOC2A"	chr16	-	30009960	30010235	30009960	30010026	30010902	30011080
98	"FAM20A"	"FAM20A"	chr17	-	68540848	68540983	68540848	68540958	68541984	68542165
99	"FAM20A"	"FAM20A"	chr17	-	68543628	68543721	68543628	68543717	68551872	68551951
100	"LOC100129461"	"LOC100129461"	chr6	+	5042505	5043589	5042587	5043589	5029971	5030195
101	"LOC100129461"	"LOC100129461"	chr6	+	5042505	5043589	5042587	5043589	5021380	5021473
102	"CWF19L1"	"CWF19L1"	chr10	-	100260965	100261044	100260965	100261028	100261978	100262063
103	"SULT1A1"	"SULT1A1"	chr16	-	28608707	28608890	28608707	28608859	28609930	28610044
104	"HAGLR"	"HAGLR"	chr2	-	176177710	176177856	176177710	176177826	176179028	176179098
105	"P2RX7"	"P2RX7"	chr12	+	121162270	121162520	121162423	121162520	121160901	121160974
106	"RC3H1"	"RC3H1"	chr1	-	173943441	173943615	173943441	173943588	173946475	173946608
107	"RC3H1"	"RC3H1"	chr1	-	173931083	173938874	173931083	173938871	173941264	173941380
108	"STK31"	"STK31"	chr7	+	23712098	23712145	23712106	23712145	23710166	23710335
109	"DHPS"	"DHPS"	chr19	-	12676016	12676142	12676016	12676105	12677290	12677396
110	"CBX6"	"CBX6"	chr22	-	38861426	38867201	38861426	38867147	38871479	38871546
111	"ST7L"	"ST7L"	chr1	-	112616812	112616895	112616812	112616844	112618908	112619418
112	"HSPG2"	"HSPG2"	chr1	-	21884527	21884677	21884527	21884674	21884766	21884918
113	"TDRD3"	"TDRD3"	chr13	+	60573612	60573879	60573615	60573879	60567524	60567650
114	"TDRD3"	"TDRD3"	chr13	+	60444682	60444748	60444686	60444748	60439687	60439772
115	"MT1IP"	"MT1IP"	chr16	+	56677070	56677114	56677085	56677114	56676115	56676217
116	"FAM120A"	"FAM120A"	chr9	+	93515666	93515767	93515669	93515767	93498789	93498886
117	"DDX3X"	"DDX3X"	chrX	+	41347311	41347451	41347314	41347451	41346858	41347012
118	"C7orf57"	"C7orf57"	chr7	+	48052699	48052923	48052747	48052923	48049879	48049977
119	"CELF6"	"CELF6"	chr15	-	72289137	72289287	72289137	72289284	72289374	72289507
120	"CYB561A3"	"CYB561A3"	chr11	-	61348747	61350422	61348747	61349643	61350990	61351147
121	"ABLIM2"	"ABLIM2"	chr4	-	8008058	8008200	8008058	8008197	8009049	8009102
122	"ZEB1"	"ZEB1"	chr10	+	31495775	31495838	31495778	31495838	31461036	31461237
123	"SERF2"	"SERF2"	chr15	+	43793686	43796089	43793709	43796089	43792974	43793083
124	"SERF2"	"SERF2"	chr15	+	43793575	43796089	43793709	43796089	43792974	43793083
125	"SERF2"	"SERF2"	chr15	+	43793709	43796089	43794373	43796089	43792974	43793083
126	"SERF2"	"SERF2"	chr15	+	43793575	43796089	43793686	43796089	43792974	43793083
127	"SERF2"	"SERF2"	chr15	+	43793686	43796089	43794373	43796089	43792974	43793083
128	"SERF2"	"SERF2"	chr15	+	43793575	43796089	43794373	43796089	43792974	43793083
129	"SLC39A12"	"SLC39A12"	chr10	+	17993180	17993291	17993183	17993291	17991150	17991303
130	"TKTL1"	"TKTL1"	chrX	+	154305303	154305421	154305321	154305421	154295673	154295993
131	"PLA2G2A"	"PLA2G2A"	chr1	-	19978733	19978911	19978733	19978879	19979579	19979659
132	"PLA2G2A"	"PLA2G2A"	chr1	-	19979579	19979690	19979579	19979659	19980361	19980439
133	"FCRL5"	"FCRL5"	chr1	-	157518428	157518497	157518428	157518487	157518699	157518782
134	"HSD17B7"	"HSD17B7"	chr1	+	162797801	162798143	162797827	162798143	162796584	162796677
135	"JKAMP"	"JKAMP"	chr14	+	59486712	59486804	59486730	59486804	59484442	59484593
136	"JKAMP"	"JKAMP"	chr14	+	59486680	59486804	59486712	59486804	59484442	59484593
137	"JKAMP"	"JKAMP"	chr14	+	59486680	59486804	59486730	59486804	59484442	59484593
138	"ANKHD1"	"ANKHD1"	chr5	+	140438460	140438617	140438493	140438617	140436103	140436257
139	"RD3"	"RD3"	chr1	-	211481119	211481429	211481119	211481426	211491767	211492917
140	"CPN2"	"CPN2"	chr3	-	194339764	194342705	194339764	194342702	194351241	194351328
141	"PGAP2"	"PGAP2"	chr11	+	3824795	3825128	3825019	3825128	3824269	3824376
142	"DCTN5"	"DCTN5"	chr16	+	23667016	23673747	23667046	23673747	23665625	23665728
143	"SON"	"SON"	chr21	+	33576364	33577514	33576417	33577514	33575777	33575893
144	"RANGRF"	"RANGRF"	chr17	+	8289502	8290091	8289812	8290091	8289257	8289414
145	"GPATCH4"	"GPATCH4"	chr1	-	156598967	156599104	156598967	156599030	156601408	156601487
146	"KANK2"	"KANK2"	chr19	-	11178344	11178471	11178344	11178447	11178552	11178720
147	"GBGT1"	"GBGT1"	chr9	-	133155177	133155349	133155177	133155312	133155900	133155936
148	"GBGT1"	"GBGT1"	chr9	-	133152947	133154261	133152947	133154242	133155177	133155312
149	"GBGT1"	"GBGT1"	chr9	-	133156014	133156102	133156014	133156065	133161466	133161532
150	"RGL3"	"RGL3"	chr19	-	11399854	11399969	11399854	11399951	11400039	11400108
151	"ARID3B"	"ARID3B"	chr15	+	74593134	74593236	74593137	74593236	74591559	74591814
152	"BHLHE40-AS1"	"BHLHE40-AS1"	chr3	-	4896808	4898935	4896808	4898699	4900540	4900697
153	"PCDH19"	"PCDH19"	chrX	-	100341902	100342075	100341902	100342072	100350645	100350704
154	"CD4"	"CD4"	chr12	+	6815730	6816403	6816055	6816403	6814758	6814992
155	"MROH7"	"MROH7"	chr1	+	54673999	54674151	54674015	54674151	54673700	54673805
156	"MROH7"	"MROH7"	chr1	+	54670496	54670576	54670498	54670576	54668853	54668937
157	"TRPM7"	"TRPM7"	chr15	-	50583088	50583159	50583088	50583156	50586391	50586488
158	"TMEM231"	"TMEM231"	chr16	-	75545825	75546077	75545825	75545954	75555803	75555973
159	"PBX1"	"PBX1"	chr1	+	164846583	164851823	164849339	164851823	164821536	164821626
160	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103685170	103685260
161	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103685170	103685260
162	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678600	103685170	103685260
163	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103684680	103684729
164	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678600	103684680	103684729
165	"MORF4L2"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103684680	103684729
166	"PSMA8"	"PSMA8"	chr18	+	26151839	26151982	26151857	26151982	26144558	26144685
167	"CAMK2B"	"CAMK2B"	chr7	-	44220615	44220710	44220615	44220632	44220825	44220901
168	"CAMK2B"	"CAMK2B"	chr7	-	44234638	44234679	44234638	44234676	44240706	44240749
169	"CAMK2B"	"CAMK2B"	chr7	-	44217149	44219522	44217149	44217735	44220059	44220294
170	"ALS2CL"	"ALS2CL"	chr3	-	46675617	46675976	46675617	46675686	46676244	46676402
171	"TMBIM4"	"TMBIM4"	chr12	-	66153339	66153448	66153339	66153410	66169854	66170072
172	"TMBIM4"	"TMBIM4"	chr12	-	66138723	66138769	66138723	66138734	66145840	66145958
173	"HOTAIR"	"HOTAIR"	chr12	-	53965963	53966087	53965963	53966083	53966275	53966377
174	"RPL11"	"RPL11"	chr1	+	23692608	23692759	23692611	23692759	23691778	23691829
175	"BCKDHA"	"BCKDHA"	chr19	+	41422628	41422770	41422631	41422770	41422163	41422370
176	"BRCC3"	"BRCC3"	chrX	+	155073373	155073431	155073376	155073431	155072326	155072343
177	"REPS2"	"REPS2"	chrX	+	17025058	17025185	17025061	17025185	17022122	17022271
178	"ZNF619"	"ZNF619"	chr3	+	40482199	40482349	40482229	40482349	40481862	40482016
179	"C12orf4"	"C12orf4"	chr12	-	4536016	4536219	4536016	4536211	4538408	4538508
180	"ATP2A3"	"ATP2A3"	chr17	-	3923868	3925441	3923868	3925438	3928662	3928780
181	"CTDSP1"	"CTDSP1"	chr2	+	218402110	218402215	218402113	218402215	218401563	218401712
182	"RNF19B"	"RNF19B"	chr1	-	32948221	32948366	32948221	32948363	32949568	32949774
183	"RNF19B"	"RNF19B"	chr1	-	32936445	32937309	32936445	32937259	32938396	32938528
184	"MRPL52"	"MRPL52"	chr14	+	22830049	22830110	22830052	22830110	22829882	22829940
185	"ARFGAP1"	"ARFGAP1"	chr20	+	63286365	63286442	63286371	63286442	63285653	63285713
186	"ILF3"	"ILF3"	chr19	+	10684415	10685767	10684858	10685767	10683916	10683970
187	"ILF3"	"ILF3"	chr19	+	10683124	10683262	10683136	10683262	10682536	10682704
188	"NDRG2"	"NDRG2"	chr14	-	21022061	21022182	21022061	21022165	21022391	21022497
189	"OAZ2"	"OAZ2"	chr15	-	64691433	64691591	64691433	64691588	64703028	64703281
190	"C3orf35"	"C3orf35"	chr3	+	37412364	37412488	37412369	37412488	37411137	37411309
191	"C3orf35"	"C3orf35"	chr3	+	37434843	37435497	37434940	37435497	37416553	37416724
192	"CSAG3"	"CSAG3"	chrX	-	152759217	152759684	152759217	152759633	152759842	152760222
193	"PSMC4"	"PSMC4"	chr19	+	39972368	39972555	39972461	39972555	39972145	39972244
194	"TNFAIP8"	"TNFAIP8"	chr5	+	119316180	119316302	119316184	119316302	119268691	119268907
195	"HAS1"	"HAS1"	chr19	-	51719205	51719898	51719205	51719895	51723924	51723992
196	"CCBL1"	"CCBL1"	chr9	-	128835996	128836105	128835996	128836073	128836801	128836922
197	"KIAA0586"	"KIAA0586"	chr14	+	58428237	58428463	58428271	58428463	58427384	58427637
198	"IFITM3"	"IFITM3"	chr11	-	319672	319990	319672	319985	320564	320914
199	"PHF19"	"PHF19"	chr9	-	120869572	120869945	120869572	120869931	120870442	120870538
200	"SLC23A3"	"SLC23A3"	chr2	-	219168194	219168318	219168194	219168287	219168651	219168833
201	"ADNP-AS1"	"ADNP-AS1"	chr20	+	50931371	50931449	50931374	50931449	50930983	50931054
202	"UTP15"	"UTP15"	chr5	+	73568234	73568327	73568291	73568327	73567261	73567434
203	"HMGB3"	"HMGB3"	chrX	+	150985594	150985749	150985598	150985749	150983274	150983376
204	"CALCOCO1"	"CALCOCO1"	chr12	-	53723592	53723783	53723592	53723684	53724644	53724747
205	"STIP1"	"STIP1"	chr11	+	64194188	64194330	64194260	64194330	64193077	64193287
206	"MPP5"	"MPP5"	chr14	+	67279017	67279537	67279249	67279537	67269700	67269783
207	"PRMT5-AS1"	"PRMT5-AS1"	chr14	+	22922968	22923407	22923078	22923407	22919455	22921120
208	"ATAD3A"	"ATAD3A"	chr1	+	1517166	1517412	1517310	1517412	1516011	1516088
209	"APOBEC3A"	"APOBEC3A"	chr22	+	38959541	38959686	38959595	38959686	38957521	38957720
210	"C5orf38"	"C5orf38"	chr5	+	2752621	2752754	2752679	2752754	2752130	2752464
211	"SNX20"	"SNX20"	chr16	-	50666299	50669148	50666299	50668041	50675769	50675921
212	"NFKB1"	"NFKB1"	chr4	+	102533844	102533885	102533847	102533885	102529835	102529914
213	"AP1G2"	"AP1G2"	chr14	-	23564045	23564221	23564045	23564159	23564332	23564388
214	"TAF1C"	"TAF1C"	chr16	-	84179945	84180083	84179945	84180080	84180169	84180344
215	"TAF1C"	"TAF1C"	chr16	-	84183243	84183333	84183243	84183328	84183409	84183507
216	"TAF1C"	"TAF1C"	chr16	-	84184850	84185060	84184850	84184899	84186900	84187070
217	"ZNF160"	"ZNF160"	chr19	-	53091412	53091529	53091412	53091497	53091636	53091720
218	"CDCA3"	"CDCA3"	chr12	-	6849322	6849429	6849322	6849413	6849564	6849858
219	"CDCA3"	"CDCA3"	chr12	-	6849564	6849858	6849564	6849783	6850466	6850596
220	"XRCC3"	"XRCC3"	chr14	-	103712874	103712968	103712874	103712931	103715423	103715486
221	"LINC00339"	"LINC00339"	chr1	+	22030279	22031224	22030282	22031224	22025503	22025643
222	"C12orf79"	"C12orf79"	chr12	-	91987555	91987794	91987555	91987643	91989096	91989193
223	"TMEM218"	"TMEM218"	chr11	-	125101200	125101303	125101200	125101256	125102131	125102317
224	"TMEM218"	"TMEM218"	chr11	-	125102131	125102351	125102131	125102317	125102636	125102809
225	"TMEM218"	"TMEM218"	chr11	-	125102131	125102317	125102131	125102302	125102733	125102809
226	"TMEM218"	"TMEM218"	chr11	-	125102131	125102351	125102131	125102317	125102733	125102809
227	"TMEM218"	"TMEM218"	chr11	-	125102131	125102351	125102131	125102302	125102733	125102809
228	"PRELID1"	"PRELID1"	chr5	+	177306421	177306959	177306454	177306959	177306097	177306176
229	"MRPS2"	"MRPS2"	chr9	+	135501698	135501973	135501843	135501973	135500997	135501123
230	"UBAP2L"	"UBAP2L"	chr1	+	154268756	154268954	154268759	154268954	154266500	154266568
231	"ZNF138"	"ZNF138"	chr7	+	64815571	64815653	64815575	64815653	64814917	64815044
232	"MPZL3"	"MPZL3"	chr11	-	118240210	118240377	118240210	118240341	118252221	118252368
233	"SLC5A7"	"SLC5A7"	chr2	+	108001896	108002040	108001933	108002040	107997837	107997986
234	"SLC5A7"	"SLC5A7"	chr2	+	107988104	107988333	107988107	107988333	107986513	107986763
235	"NEURL2"	"NEURL2"	chr20	-	45888471	45888887	45888471	45888873	45890249	45891287
236	"TUBB6"	"TUBB6"	chr18	+	12320535	12320744	12320628	12320744	12310942	12311053
237	"TUBB6"	"TUBB6"	chr18	+	12324808	12326616	12325066	12326616	12310942	12311053
238	"TEKT4P2"	"TEKT4P2"	chr21	-	9068355	9069599	9068355	9068659	9070213	9070444
239	"LOC101927972"	"LOC101927972"	chr6	-	5456952	5457028	5456952	5457025	5457893	5458075
240	"RALGAPB"	"RALGAPB"	chr20	+	38565355	38565478	38565358	38565478	38562531	38562697
241	"RALGAPB"	"RALGAPB"	chr20	+	38535073	38535207	38535085	38535207	38532729	38532859
242	"TYSND1"	"TYSND1"	chr10	-	70142667	70142853	70142667	70142764	70143841	70143972
243	"RNH1"	"RNH1"	chr11	-	502061	502249	502061	502181	504823	504996
244	"RNH1"	"RNH1"	chr11	-	31702	31890	31702	31822	36249	36462
245	"RNH1"	"RNH1"	chr11	-	31702	31890	31702	31822	34464	34637
246	"RNH1"	"RNH1"	chr11	-	31702	31890	31702	31822	36753	36924
247	"RNH1"	"RNH1"	chr11	-	502061	502249	502061	502181	507112	507283
248	"RNH1"	"RNH1"	chr11	-	502061	502249	502061	502181	506608	506821
249	"ZNF343"	"ZNF343"	chr20	-	2493777	2494044	2493777	2494002	2500655	2500742
250	"PRDM15"	"PRDM15"	chr21	-	41828165	41828333	41828165	41828281	41834504	41834564
251	"PRDM15"	"PRDM15"	chr21	-	41836467	41836649	41836467	41836589	41837933	41838063
252	"PRDM15"	"PRDM15"	chr21	-	41828165	41828333	41828165	41828281	41835436	41835524
253	"TMC4"	"TMC4"	chr19	-	54171869	54172101	54171869	54172083	54173038	54173250
254	"TMC4"	"TMC4"	chr19	-	146752	146984	146752	146966	147847	148058
255	"TMC4"	"TMC4"	chr19	-	146678	146910	146678	146892	147810	148022
256	"TMC4"	"TMC4"	chr19	-	146684	146916	146684	146898	147816	148028
257	"A1CF"	"A1CF"	chr10	-	50813856	50814062	50813856	50814038	50816005	50816279
258	"MYRF"	"MYRF"	chr11	+	61783497	61783600	61783512	61783600	61781572	61781824
259	"ALKBH2"	"ALKBH2"	chr12	-	109092506	109092937	109092506	109092787	109093246	109093488
260	"ALKBH2"	"ALKBH2"	chr12	-	109092506	109092937	109092506	109092787	109093349	109093488
261	"SLC8A3"	"SLC8A3"	chr14	-	70051989	70052114	70051989	70052105	70055795	70055813
262	"EGFL6"	"EGFL6"	chrX	+	13623820	13623925	13623823	13623925	13619162	13619243
263	"MEIS3"	"MEIS3"	chr19	-	47407351	47407566	47407351	47407428	47409098	47409247
264	"MEIS3"	"MEIS3"	chr19	-	47414716	47414866	47414716	47414815	47415050	47415101
265	"ADAM33"	"ADAM33"	chr20	-	3667972	3669000	3667972	3668997	3669298	3669370
266	"FCGR2A"	"FCGR2A"	chr1	+	161506333	161506591	161506336	161506591	161505986	161506007
267	"ENY2"	"ENY2"	chr8	+	109340443	109340563	109340488	109340563	109339319	109339390
268	"ENY2"	"ENY2"	chr8	+	109340488	109340563	109340490	109340563	109339319	109339390
269	"ENY2"	"ENY2"	chr8	+	109340443	109340563	109340490	109340563	109339319	109339390
270	"PHYKPL"	"PHYKPL"	chr5	-	178222354	178222580	178222354	178222492	178222851	178222934
271	"GPNMB"	"GPNMB"	chr7	+	23266480	23266615	23266516	23266615	23260455	23260773
272	"PSRC1"	"PSRC1"	chr1	-	109282679	109282736	109282679	109282731	109283062	109283168
273	"LONRF3"	"LONRF3"	chrX	+	119012879	119013201	119013038	119013201	119011814	119011973
274	"BRD9"	"BRD9"	chr5	-	889586	889766	889586	889647	891154	891287
275	"BRD9"	"BRD9"	chr5	-	886591	886767	886591	886707	887360	887471
276	"BRD9"	"BRD9"	chr5	-	889020	889165	889020	889160	889586	889647
277	"CLDND1"	"CLDND1"	chr3	-	98521132	98521442	98521132	98521437	98522848	98523066
278	"CLDND1"	"CLDND1"	chr3	-	98521652	98521703	98521652	98521696	98522848	98523066
279	"PRNP"	"PRNP"	chr20	+	4699210	4701588	4699215	4701588	4686150	4686508
280	"PRNP"	"PRNP"	chr20	+	4699210	4701588	4699215	4701588	4686150	4686512
281	"ZNF181"	"ZNF181"	chr19	+	34739522	34739621	34739525	34739621	34739147	34739268
282	"LINC00658"	"LINC00658"	chr20	-	5433788	5434092	5433788	5434070	5434171	5434405
283	"HSPA12B"	"HSPA12B"	chr20	+	3745914	3746031	3745917	3746031	3745492	3745597
284	"ABCB4"	"ABCB4"	chr7	-	87406287	87406515	87406287	87406494	87408036	87408234
285	"C8orf31"	"C8orf31"	chr8	+	33450	33550	33465	33550	33245	33375
286	"C8orf31"	"C8orf31"	chr8	+	143043162	143043262	143043177	143043262	143042957	143043087
287	"PIK3C2G"	"PIK3C2G"	chr12	+	18286846	18286929	18286853	18286929	18282003	18282759
288	"TBCA"	"TBCA"	chr5	-	77691168	77693352	77691168	77691498	77708241	77708347
289	"GLS2"	"GLS2"	chr12	-	56475043	56475183	56475043	56475110	56475623	56475682
290	"TAGLN3"	"TAGLN3"	chr3	+	111999246	111999602	111999420	111999602	111998738	111999114
