IID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
33	"Ccdc109b"	"Ccdc109b"	chr3	-	129918585	129918746	129916938	129917142	129926364	129926469
34	"Ccdc109b"	"Ccdc109b"	chr3	-	129926364	129926469	129918585	129918746	129933582	129933753
35	"Ccdc109b"	"Ccdc109b"	chr3	-	129926364	129926469	129916938	129917142	129933582	129933753
36	"Dstn"	"Dstn"	chr2	+	143939951	143940028	143938384	143938692	143942126	143943324
37	"Cdc37l1"	"Cdc37l1"	chr19	+	28999260	28999351	28995040	28995322	29006971	29007087
38	"Jade1"	"Jade1"	chr3	+	41609802	41609920	41604469	41604991	41613122	41616864
39	"Jade1"	"Jade1"	chr3	+	41591682	41591840	41588933	41589022	41593766	41593954
40	"Srsf11"	"Srsf11"	chr3	-	158031451	158031648	158026724	158026858	158036515	158036639
41	"Hdac11"	"Hdac11"	chr6	+	91167803	91167880	91166242	91166285	91168808	91168871
42	"Crk"	"Crk"	chr11	+	75692196	75692732	75679258	75679664	75703365	75708428
43	"Crk"	"Crk"	chr11	+	75692196	75692562	75679258	75679664	75703365	75708428
44	"Pwwp2b"	"Pwwp2b"	chr7	+	139254769	139256465	139248481	139248643	139266471	139267253
45	"Pwwp2b"	"Pwwp2b"	chr7	+	139254769	139256160	139248481	139248643	139266471	139267253
46	"Hmg20b"	"Hmg20b"	chr10	-	81347985	81348032	81347435	81347508	81348495	81348616
47	"Hmg20b"	"Hmg20b"	chr10	-	81347435	81347508	81346840	81347056	81348495	81348616
48	"Vapb"	"Vapb"	chr2	+	173771520	173771624	173762116	173762269	173774393	173774474
49	"Vapb"	"Vapb"	chr2	+	173774393	173774474	173762116	173762269	173776111	173776288
50	"Rdh12"	"Rdh12"	chr12	+	79210840	79210959	79208913	79209108	79211387	79211543
51	"Lrrc4c"	"Lrrc4c"	chr2	+	97231536	97231752	97094613	97094750	97426610	97426704
52	"Lrrc4c"	"Lrrc4c"	chr2	+	97603488	97603540	97467656	97468420	97628988	97631664
53	"Smarcad1"	"Smarcad1"	chr6	+	65111775	65111885	65110369	65110552	65114300	65116049
54	"Smarcad1"	"Smarcad1"	chr6	+	65056402	65056568	65052619	65052797	65058065	65058132
55	"Cbx1"	"Cbx1"	chr11	+	96802727	96802822	96801428	96801606	96806615	96806764
56	"Dcp1a"	"Dcp1a"	chr14	+	30512983	30513097	30505545	30505684	30518918	30519677
57	"Dcp1a"	"Dcp1a"	chr14	+	30521589	30521655	30518918	30519677	30522727	30522946
58	"Dcp1a"	"Dcp1a"	chr14	+	30505545	30505684	30502825	30502892	30518918	30519677
59	"Rgl2"	"Rgl2"	chr17	+	33935739	33936033	33935544	33935656	33936862	33936977
60	"Rgl2"	"Rgl2"	chr17	+	33933711	33933780	33933540	33933625	33933896	33933971
61	"Stag2"	"Stag2"	chrX	+	42266365	42266476	42266085	42266275	42269380	42269507
62	"Eri2"	"Eri2"	chr7	-	119787403	119787485	119786738	119786827	119787733	119787834
63	"Fabp5"	"Fabp5"	chr3	+	10014970	10015143	10012584	10012718	10015471	10015573
64	"Midn"	"Midn"	chr10	+	80153590	80153719	80151660	80151723	80153815	80154133
65	"Kdm1a"	"Kdm1a"	chr4	-	136552460	136552588	136551871	136552018	136553795	136553910
66	"Kdm1a"	"Kdm1a"	chr4	-	136553795	136553910	136551871	136552018	136554212	136554400
67	"Rere"	"Rere"	chr4	+	150619024	150619205	150618405	150618552	150619455	150621966
68	"Rere"	"Rere"	chr4	+	150500002	150500051	150477363	150477468	150508829	150508954
69	"Rere"	"Rere"	chr4	+	150618405	150618552	150616758	150617479	150619024	150619205
70	"Rere"	"Rere"	chr4	+	150439342	150439468	150431522	150431593	150468694	150468800
71	"Gm4951"	"Gm4951"	chr18	+	60212555	60212664	60212076	60212169	60245374	60247820
72	"Zscan22"	"Zscan22"	chr7	+	12903600	12904085	12897808	12897943	12906233	12909083
73	"Zscan22"	"Zscan22"	chr7	+	12903600	12904085	12897808	12897877	12906233	12909083
74	"Zscan22"	"Zscan22"	chr7	+	12903600	12904085	12897808	12897980	12906233	12909083
75	"Tcf7l2"	"Tcf7l2"	chr19	+	55923895	55923944	55919510	55919618	55931433	55933655
76	"Tcf7l2"	"Tcf7l2"	chr19	+	55755013	55755082	55743072	55743197	55817763	55817865
77	"Tcf7l2"	"Tcf7l2"	chr19	+	55924529	55924580	55923895	55923944	55931433	55933655
78	"Tcf7l2"	"Tcf7l2"	chr19	+	55924529	55924580	55923895	55923944	55925976	55926049
79	"Tcf7l2"	"Tcf7l2"	chr19	+	55925976	55926049	55924529	55924580	55931433	55933655
80	"Tcf7l2"	"Tcf7l2"	chr19	+	55925976	55926049	55923895	55923944	55931433	55933655
81	"Tcf7l2"	"Tcf7l2"	chr19	+	55927729	55927754	55925976	55926049	55931433	55933655
82	"Brd3"	"Brd3"	chr2	-	27453399	27453450	27452832	27453074	27454312	27454504
83	"Cish"	"Cish"	chr9	+	107299923	107300144	107296688	107297034	107300367	107301961
84	"Slc25a43"	"Slc25a43"	chrX	+	36761683	36761694	36757767	36757940	36775481	36775616
85	"Slc25a43"	"Slc25a43"	chrX	+	36752132	36752374	36743631	36744018	36757767	36757940
86	"Eps8"	"Eps8"	chr6	-	137591417	137591492	137539321	137539401	137649051	137649285
87	"Ubox5"	"Ubox5"	chr2	-	130628488	130628635	130604484	130604626	130629915	130630038
88	"Ubox5"	"Ubox5"	chr2	-	130604484	130604626	130602556	130602652	130628488	130628635
89	"Eif2s2"	"Eif2s2"	chr2	-	154878469	154878564	154877670	154877819	154884310	154884446
90	"Eif2s2"	"Eif2s2"	chr2	-	154877670	154877819	154876615	154876672	154878469	154878564
91	"Eif2s2"	"Eif2s2"	chr2	-	154876615	154876672	154873548	154873634	154878469	154878564
92	"Cep135"	"Cep135"	chr5	+	76606721	76606787	76603136	76603352	76609630	76609769
93	"Cep135"	"Cep135"	chr5	+	76616802	76616955	76615637	76615790	76621283	76621361
94	"Kdm2a"	"Kdm2a"	chr19	-	4326808	4326898	4324336	4325046	4328127	4328259
95	"Bnip1"	"Bnip1"	chr17	+	26786696	26786788	26783444	26783537	26789694	26789796
96	"Mkln1"	"Mkln1"	chr6	+	31449495	31449573	31432938	31433131	31451518	31451584
97	"Mkln1"	"Mkln1"	chr6	+	31458954	31459067	31451518	31451584	31468130	31468343
98	"Mkln1"	"Mkln1"	chr6	+	31499886	31499941	31496668	31496771	31507624	31509477
99	"Prrx1"	"Prrx1"	chr1	-	163253976	163254048	163245118	163248396	163257760	163257942
100	"1810062O18Rik"	"1810062O18Rik"	chr14	+	20561985	20562096	20546292	20546344	20564780	20564839
101	"1810062O18Rik"	"1810062O18Rik"	chr14	+	20569869	20570022	20565010	20565047	20570341	20570680
102	"Il2rg"	"Il2rg"	chrX	-	101266977	101267120	101266180	101266343	101267310	101267495
103	"Il2rg"	"Il2rg"	chrX	-	101265629	101265726	101265375	101265442	101266180	101266343
104	"2810403A07Rik"	"2810403A07Rik"	chr3	+	88696564	88696776	88693420	88693584	88698848	88698909
105	"Wdr44"	"Wdr44"	chrX	+	23783287	23783352	23780802	23780941	23788051	23788165
106	"Wdr44"	"Wdr44"	chrX	+	23749905	23749980	23732317	23732351	23756439	23757085
107	"Mavs"	"Mavs"	chr2	+	131238735	131238910	131234062	131234127	131240314	131240492
108	"Mavs"	"Mavs"	chr2	+	131239451	131239542	131238735	131238910	131240314	131240492
109	"Tatdn3"	"Tatdn3"	chr1	-	191052859	191052972	191049281	191049362	191054855	191054911
110	"Upk3bl"	"Upk3bl"	chr5	+	136060061	136060281	136059730	136059883	136061182	136061259
111	"Mgea5"	"Mgea5"	chr19	-	45773661	45773760	45771681	45771966	45776047	45776219
112	"Mgea5"	"Mgea5"	chr19	-	45762184	45762270	45761103	45761208	45765449	45765624
113	"Ciita"	"Ciita"	chr16	+	10503869	10503947	10502135	10502231	10506195	10506240
114	"Ciita"	"Ciita"	chr16	+	10520967	10521054	10518293	10518386	10523718	10523802
115	"Ciita"	"Ciita"	chr16	+	10520967	10521054	10514436	10514508	10523718	10523802
116	"Ciita"	"Ciita"	chr16	+	10513128	10513287	10510703	10512354	10514436	10514508
117	"Ciita"	"Ciita"	chr16	+	10517687	10517768	10514436	10514508	10520967	10521054
118	"Ciita"	"Ciita"	chr16	+	10517687	10517768	10513128	10513287	10520967	10521054
119	"Ciita"	"Ciita"	chr16	+	10509356	10509422	10508565	10508730	10510703	10512354
120	"Ciita"	"Ciita"	chr16	+	10503665	10503728	10502135	10502231	10503869	10503947
121	"Ciita"	"Ciita"	chr16	+	10503665	10503728	10502135	10502231	10503866	10503947
122	"Ciita"	"Ciita"	chr16	+	10503866	10503947	10502135	10502231	10506195	10506240
123	"Ciita"	"Ciita"	chr16	+	10510703	10512354	10509356	10509422	10514436	10514508
124	"Ciita"	"Ciita"	chr16	+	10518293	10518386	10517687	10517768	10520967	10521054
125	"Ciita"	"Ciita"	chr16	+	10514436	10514508	10513128	10513287	10517687	10517768
126	"Ciita"	"Ciita"	chr16	+	10514436	10514508	10513128	10513287	10520967	10521054
127	"Ciita"	"Ciita"	chr16	+	10506195	10506240	10503866	10503947	10506689	10506824
128	"Lamtor5"	"Lamtor5"	chr3	+	107281908	107282026	107279869	107279931	107283634	107284081
129	"Rnf41"	"Rnf41"	chr10	+	128435312	128435584	128428590	128428703	128436467	128436603
130	"Rnf41"	"Rnf41"	chr10	+	128435312	128435568	128428590	128428703	128436467	128436603
131	"Rnf41"	"Rnf41"	chr10	+	128432196	128432317	128428590	128428703	128436467	128436603
132	"4930402H24Rik"	"4930402H24Rik"	chr2	-	130710811	130710877	130709937	130710031	130712259	130712462
133	"4930402H24Rik"	"4930402H24Rik"	chr2	-	130713396	130713503	130712951	130713026	130717260	130717347
134	"4930402H24Rik"	"4930402H24Rik"	chr2	-	130739370	130739469	130738980	130739098	130740400	130740489
135	"Rgs17"	"Rgs17"	chr10	-	5918183	5918253	5862518	5862662	5922227	5922400
136	"Rgs17"	"Rgs17"	chr10	-	5842535	5842625	5841271	5841506	5862518	5862662
137	"Casp9"	"Casp9"	chr4	+	141812206	141812316	141811538	141811718	141813594	141815978
138	"Iqce"	"Iqce"	chr5	-	140666007	140666208	140663504	140665493	140670466	140670567
139	"Iqce"	"Iqce"	chr5	-	140692793	140692928	140691599	140691670	140693414	140693543
140	"Iqce"	"Iqce"	chr5	-	140682401	140682457	140680715	140680945	140683375	140683539
141	"Iqce"	"Iqce"	chr5	-	140675077	140675248	140674336	140674360	140677415	140677506
142	"Hgfac"	"Hgfac"	chr5	+	35046488	35046628	35045250	35045506	35046883	35047024
143	"4632434I11Rik"	"4632434I11Rik"	chr7	-	92868111	92868190	92866570	92866699	92872761	92872844
144	"Aim1"	"Aim1"	chr10	-	43979480	43979607	43976797	43976833	43986250	43986390
145	"Mcfd2"	"Mcfd2"	chr17	-	87264140	87264365	87257927	87258089	87265834	87265947
146	"Map7d1"	"Map7d1"	chr4	-	126238521	126238632	126236895	126237278	126240022	126240137
147	"Appl1"	"Appl1"	chr14	-	26943911	26944003	26942647	26942830	26945544	26945601
148	"Appl1"	"Appl1"	chr14	-	26940243	26940296	26928558	26928733	26942647	26942830
149	"Pxk"	"Pxk"	chr14	+	8144593	8144711	8141442	8141544	8148079	8148128
150	"Pxk"	"Pxk"	chr14	+	8146193	8146272	8144593	8144711	8148079	8148128
151	"Pxk"	"Pxk"	chr14	+	8144075	8144237	8141442	8141544	8144593	8144711
152	"Pxk"	"Pxk"	chr14	+	8155282	8155345	8152080	8152150	8163934	8165111
153	"Pxk"	"Pxk"	chr14	+	8159998	8160031	8155282	8155345	8163934	8165111
154	"Ptpn9"	"Ptpn9"	chr9	+	57033105	57033216	57027375	57027481	57036482	57036811
155	"Ptpn9"	"Ptpn9"	chr9	+	57056713	57056792	57048190	57048257	57057710	57057861
156	"Ptpn9"	"Ptpn9"	chr9	+	57027375	57027481	57022958	57023083	57033105	57033216
157	"Ptpn9"	"Ptpn9"	chr9	+	57057710	57057861	57048190	57048257	57059853	57060061
158	"Zfp68"	"Zfp68"	chr5	-	138616469	138616559	138612038	138612165	138617054	138617167
159	"Zfp68"	"Zfp68"	chr5	-	138616469	138616565	138612038	138612165	138617054	138617167
160	"Med15"	"Med15"	chr16	-	17663376	17663496	17655677	17655805	17671544	17671673
161	"Med15"	"Med15"	chr16	-	17663376	17663496	17655677	17655805	17673068	17673398
162	"Med15"	"Med15"	chr16	-	17652708	17652807	17651207	17652263	17653190	17653357
163	"Med15"	"Med15"	chr16	-	17671544	17671673	17663376	17663496	17673068	17673398
164	"Med15"	"Med15"	chr16	-	17671544	17671673	17655677	17655805	17673068	17673398
165	"Med15"	"Med15"	chr16	-	17652704	17652807	17651207	17652263	17653190	17653357
166	"Med15"	"Med15"	chr16	-	17706398	17706483	17697606	17697694	17722755	17722900
167	"Med15"	"Med15"	chr16	-	17680548	17680761	17674404	17674658	17683158	17683188
168	"Med15"	"Med15"	chr16	-	17680548	17680761	17674404	17674658	17685452	17685504
169	"Med15"	"Med15"	chr16	-	17698076	17698192	17697606	17697694	17706398	17706483
170	"Med15"	"Med15"	chr16	-	17683158	17683188	17674404	17674658	17685452	17685504
171	"Med15"	"Med15"	chr16	-	17683158	17683188	17680548	17680761	17685452	17685504
172	"Tax1bp1"	"Tax1bp1"	chr6	+	52739543	52739729	52737081	52737172	52741950	52742175
173	"Tax1bp1"	"Tax1bp1"	chr6	+	52742691	52742838	52741950	52742175	52744221	52744354
174	"Tax1bp1"	"Tax1bp1"	chr6	+	52733190	52733349	52729280	52729468	52736849	52736998
175	"Tax1bp1"	"Tax1bp1"	chr6	+	52733190	52733349	52721297	52721466	52736849	52736998
176	"Tax1bp1"	"Tax1bp1"	chr6	+	52758212	52758355	52757553	52757728	52765020	52765103
177	"Tax1bp1"	"Tax1bp1"	chr6	+	52746669	52746770	52744221	52744354	52751084	52751210
178	"Rabl6"	"Rabl6"	chr2	-	25588608	25588712	25587274	25587627	25592297	25592403
179	"Thap3"	"Thap3"	chr4	-	151983634	151983736	151982637	151983352	151985668	151985861
180	"Suv420h2"	"Suv420h2"	chr7	+	4743246	4743266	4742946	4743110	4745801	4745938
181	"Pqlc3"	"Pqlc3"	chr12	-	16993452	16993573	16992277	16992319	16995613	16995671
182	"Tecr"	"Tecr"	chr8	-	83573410	83573455	83573219	83573323	83573870	83573922
183	"Tecr"	"Tecr"	chr8	-	83573870	83573922	83573410	83573455	83574477	83574528
184	"St3gal1"	"St3gal1"	chr15	-	67109605	67109651	67108208	67108328	67111231	67111411
185	"Prom2"	"Prom2"	chr2	-	127536542	127536695	127535544	127535668	127536955	127537115
186	"Rab34"	"Rab34"	chr11	+	78191207	78191289	78190684	78190736	78191364	78191455
187	"Zfand5"	"Zfand5"	chr19	+	21277654	21277758	21276977	21277089	21279624	21279750
188	"Zfand5"	"Zfand5"	chr19	+	21276425	21276585	21272277	21272742	21276977	21277089
189	"Zfand5"	"Zfand5"	chr19	+	21279624	21279750	21276977	21277089	21280422	21286840
190	"Csn2"	"Csn2"	chr5	-	87697256	87697280	87697119	87697140	87698027	87698090
191	"Csn2"	"Csn2"	chr5	-	87697119	87697140	87696153	87696177	87698027	87698090
192	"Usf2"	"Usf2"	chr7	-	30955105	30955193	30954743	30954802	30955289	30955440
193	"Usf2"	"Usf2"	chr7	-	30955289	30955440	30955105	30955193	30955799	30956000
194	"Usf2"	"Usf2"	chr7	-	30955799	30956000	30955289	30955440	30956148	30956267
195	"Fxyd1"	"Fxyd1"	chr7	-	31053399	31053474	31053024	31053061	31053892	31053925
196	"Atg4c"	"Atg4c"	chr4	+	99235066	99235186	99224413	99224550	99258396	99259787
197	"Grm1"	"Grm1"	chr10	-	10698047	10698132	10686058	10689902	10719222	10720153
198	"Orc3"	"Orc3"	chr4	-	34611021	34611076	34607130	34607228	34614864	34614942
199	"Orc3"	"Orc3"	chr4	-	34607130	34607228	34605536	34605681	34614864	34614942
200	"Trib2"	"Trib2"	chr12	-	15809695	15809988	15791726	15794076	15815230	15816785
201	"Mtmr2"	"Mtmr2"	chr9	+	13783605	13783710	13782276	13782382	13785851	13785927
202	"L1cam"	"L1cam"	chrX	-	73860719	73860844	73860438	73860549	73861047	73861204
203	"L1cam"	"L1cam"	chrX	-	73855651	73855663	73853779	73855266	73855758	73855831
204	"L1cam"	"L1cam"	chrX	-	73867021	73867036	73866054	73866160	73869728	73869916
205	"Nlrp5"	"Nlrp5"	chr7	+	23413304	23413352	23409937	23410015	23417285	23418861
206	"A630001G21Rik"	"A630001G21Rik"	chr1	-	85719024	85719129	85717082	85718368	85723097	85723181
207	"Stxbp5l"	"Stxbp5l"	chr16	-	37142275	37142446	37139843	37140083	37174296	37174362
208	"Stxbp5l"	"Stxbp5l"	chr16	-	37186650	37186722	37174296	37174362	37188568	37188720
209	"Cbr2"	"Cbr2"	chr11	-	120730423	120730523	120730256	120730321	120730617	120730660
210	"Cbr2"	"Cbr2"	chr11	-	120729914	120730032	120729484	120729825	120730256	120730321
211	"Ndor1"	"Ndor1"	chr2	-	25251720	25251818	25250279	25250378	25254863	25254941
212	"Wdtc1"	"Wdtc1"	chr4	-	133305823	133306006	133304150	133304245	133308748	133308936
213	"Col20a1"	"Col20a1"	chr2	+	181013389	181013443	181013235	181013289	181013869	181013923
214	"Col20a1"	"Col20a1"	chr2	+	181001213	181001343	181000892	181001041	181002328	181002367
215	"Col20a1"	"Col20a1"	chr2	+	181003344	181003483	181002328	181002367	181006704	181006847
216	"Actn4"	"Actn4"	chr7	-	28901876	28902027	28898619	28898728	28904540	28904688
217	"Lztr1"	"Lztr1"	chr16	+	17520435	17520637	17519386	17519526	17520890	17521046
218	"Lztr1"	"Lztr1"	chr16	+	17524307	17524457	17524095	17524222	17525238	17525344
219	"Ing3"	"Ing3"	chr6	+	21950037	21950109	21949614	21949793	21952128	21952229
220	"Ckap2l"	"Ckap2l"	chr2	-	129270574	129270761	129268209	129269263	129272496	129272557
221	"Ilf2"	"Ilf2"	chr3	+	90486850	90486912	90486184	90486272	90486982	90487097
222	"Ilf2"	"Ilf2"	chr3	+	90477004	90477064	90476200	90476245	90477319	90477362
223	"Bcat2"	"Bcat2"	chr7	+	45587934	45588020	45587648	45587791	45588238	45588379
224	"Bcat2"	"Bcat2"	chr7	+	45575430	45575505	45570152	45570399	45575798	45576002
225	"Hsd17b14"	"Hsd17b14"	chr7	+	45562914	45563019	45559380	45559472	45565954	45566022
226	"Hsd17b14"	"Hsd17b14"	chr7	+	45565954	45566022	45562914	45563019	45566119	45566216
227	"Cacna1f"	"Cacna1f"	chrX	+	7627687	7627708	7626829	7626913	7627903	7628032
228	"Smarcc2"	"Smarcc2"	chr10	+	128481681	128481774	128480850	128481004	128482082	128482202
229	"Smarcc2"	"Smarcc2"	chr10	+	128465436	128465506	128465156	128465226	128468794	128468870
230	"2410127L17Rik"	"2410127L17Rik"	chr19	+	18690229	18690370	18679103	18679267	18691416	18691595
231	"Adam23"	"Adam23"	chr1	+	63585364	63585455	63572886	63572998	63592607	63596515
232	"Fam49b"	"Fam49b"	chr15	-	63943183	63943320	63941930	63942008	63944322	63944428
233	"Fam49b"	"Fam49b"	chr15	-	63956599	63956682	63950005	63950127	63970929	63970968
234	"Ublcp1"	"Ublcp1"	chr11	-	44458204	44458321	44456363	44456491	44460720	44460819
235	"Wnt4"	"Wnt4"	chr4	+	137295440	137295572	137289113	137289349	137295659	137295802
236	"Fut7"	"Fut7"	chr2	+	25424755	25424778	25423693	25423968	25424885	25426373
237	"Fut7"	"Fut7"	chr2	+	25424572	25424778	25423693	25423968	25424885	25426373
238	"Fut7"	"Fut7"	chr2	+	25424693	25424778	25423881	25423968	25424885	25426373
239	"Cct4"	"Cct4"	chr11	+	22997602	22997735	22997032	22997154	22999032	22999172
240	"Apoe"	"Apoe"	chr7	-	19697478	19697647	19696243	19697103	19698187	19698253
241	"Rapgef4"	"Rapgef4"	chr2	+	72174422	72174476	72141152	72141172	72174801	72174908
242	"Mta1"	"Mta1"	chr12	+	113135796	113135828	113133540	113133576	113136280	113136432
243	"Mta1"	"Mta1"	chr12	+	113131887	113131977	113131572	113131762	113133184	113133337
244	"Mta1"	"Mta1"	chr12	+	113133540	113133576	113133184	113133337	113135796	113135828
245	"Pstk"	"Pstk"	chr7	+	131373535	131373830	131371145	131371389	131374064	131374263
246	"Pydc4"	"Pydc4"	chr1	-	173596955	173597007	173595020	173595305	173599019	173599274
247	"Ttll11"	"Ttll11"	chr2	-	35784088	35784195	35751225	35752492	35795356	35795602
248	"Suz12"	"Suz12"	chr11	+	79999056	79999125	79995744	79995809	80007512	80007562
249	"Suz12"	"Suz12"	chr11	+	80015142	80015236	80013363	80013595	80019678	80019784
250	"Gtl3"	"Gtl3"	chr8	-	95421135	95421246	95420249	95420669	95422057	95422246
251	"Gtl3"	"Gtl3"	chr8	-	95424616	95424696	95422782	95422894	95434487	95434869
252	"Rnf168"	"Rnf168"	chr16	+	32285369	32285549	32282310	32282387	32289118	32289240
253	"Brd7"	"Brd7"	chr8	-	88339408	88339520	88337080	88337137	88342734	88342870
254	"Man1c1"	"Man1c1"	chr4	-	134578285	134578379	134575939	134576055	134580770	134580888
255	"Idnk"	"Idnk"	chr13	+	58162837	58162881	58160151	58160238	58163432	58164693
256	"Nsmce2"	"Nsmce2"	chr15	+	59592137	59592244	59591696	59591797	59601339	59601684
257	"Spink5"	"Spink5"	chr18	+	44016367	44016498	44015588	44015685	44018700	44018791
258	"Klhl24"	"Klhl24"	chr16	+	20114560	20114745	20106662	20107643	20115883	20116002
259	"Klhl24"	"Klhl24"	chr16	+	20101991	20102054	20097553	20097671	20106662	20107643
260	"Tab2"	"Tab2"	chr10	-	7910046	7910127	7905647	7907577	7911088	7911182
261	"Sema4d"	"Sema4d"	chr13	-	51734506	51734570	51725223	51725542	51763251	51763320
262	"Sema4d"	"Sema4d"	chr13	-	51704952	51704996	51701247	51703531	51705072	51705245
263	"Sema4d"	"Sema4d"	chr13	-	51763251	51763320	51725223	51725542	51793496	51793747
264	"Crebbp"	"Crebbp"	chr16	-	4137365	4137479	4128443	4128686	4138744	4138985
265	"Nupl2"	"Nupl2"	chr5	+	24175453	24175530	24169295	24169390	24177999	24178086
266	"Timp3"	"Timp3"	chr10	+	86338372	86338455	86300411	86300974	86343932	86344044
267	"Arpc4"	"Arpc4"	chr6	+	113380725	113380844	113378112	113378208	113384081	113384177
268	"Arpc4"	"Arpc4"	chr6	+	113380725	113380844	113378112	113378208	113381962	113382074
269	"Arpc4"	"Arpc4"	chr6	+	113381962	113382074	113378112	113378208	113384081	113384177
270	"Arpc4"	"Arpc4"	chr6	+	113381962	113382074	113380725	113380844	113384081	113384177
271	"Hid1"	"Hid1"	chr11	-	115349921	115350002	115349085	115349177	115350491	115350598
272	"Pknox2"	"Pknox2"	chr9	-	36910511	36910609	36909628	36909748	36911133	36911263
273	"Pknox2"	"Pknox2"	chr9	-	36987167	36987272	36968377	36968486	37083206	37083276
274	"Pknox2"	"Pknox2"	chr9	-	36936320	36936492	36923583	36923772	36954692	36954832
275	"Cyp2c50"	"Cyp2c50"	chr19	+	40092203	40092380	40090944	40091105	40096716	40096858
276	"Esrp1"	"Esrp1"	chr4	-	11357459	11357658	11353294	11353463	11359737	11359956
277	"Esrp1"	"Esrp1"	chr4	-	11344111	11344262	11338721	11338831	11353294	11353463
278	"Esrp1"	"Esrp1"	chr4	-	11344111	11344262	11331932	11333473	11353294	11353463
279	"Esrp1"	"Esrp1"	chr4	-	11384348	11384462	11379290	11379405	11385646	11385775
280	"Esrp1"	"Esrp1"	chr4	-	11338721	11338831	11331932	11333473	11344111	11344262
281	"Esrp1"	"Esrp1"	chr4	-	11338721	11338831	11331932	11333473	11353294	11353463
282	"Gnmt"	"Gnmt"	chr17	-	46726268	46726411	46726060	46726182	46726605	46726716
283	"Cdk18"	"Cdk18"	chr1	-	132116446	132116489	132115861	132115952	132116595	132116701
284	"Ccdc169"	"Ccdc169"	chr3	+	55150191	55150225	55142240	55142320	55150711	55150822
285	"Ccdc169"	"Ccdc169"	chr3	+	55162819	55162856	55158544	55158598	55163320	55163397
286	"Ccdc169"	"Ccdc169"	chr3	+	55170359	55170491	55163320	55163397	55171264	55172936
287	"Elk4"	"Elk4"	chr1	+	132017592	132018462	132014382	132014598	132019349	132019466
288	"Ptpre"	"Ptpre"	chr7	+	135674247	135674382	135672744	135672821	135678204	135678330
289	"Kynu"	"Kynu"	chr2	+	43562956	43563138	43555324	43555409	43581345	43581466
