ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
83	"Trmt61a"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678300	111678602	111678962
84	"Eqtn"	"Eqtn"	chr4	-	94907266	94907821	94907266	94907624	94907747	94907821
85	"Mapk7"	"Mapk7"	chr11	-	61493646	61494266	61493646	61493954	61494079	61494266
86	"Ttc14"	"Ttc14"	chr3	+	33806815	33814860	33806815	33806933	33808685	33814860
87	"C1qtnf6"	"C1qtnf6"	chr15	-	78523345	78525398	78523345	78525187	78525353	78525398
88	"Magt1"	"Magt1"	chrX	-	105968084	105971479	105968084	105971026	105971435	105971479
89	"Ptprr"	"Ptprr"	chr10	+	116177350	116177828	116177350	116177600	116177717	116177828
90	"Fubp3"	"Fubp3"	chr2	+	31615497	31617526	31615497	31615625	31616178	31617526
91	"Zfp426"	"Zfp426"	chr9	-	20492385	20492746	20492385	20492451	20492697	20492746
92	"Txlng"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162811535	162811595
93	"Csnk1g2"	"Csnk1g2"	chr10	+	80638009	80638309	80638009	80638079	80638160	80638309
94	"2010111I01Rik"	"2010111I01Rik"	chr13	+	63298711	63302877	63298711	63298856	63301778	63302877
95	"Npy2r"	"Npy2r"	chr3	-	82538382	82541494	82538382	82541039	82541378	82541494
96	"Arrdc1"	"Arrdc1"	chr2	-	24925755	24926448	24925755	24926194	24926271	24926448
97	"Spag11b"	"Spag11b"	chr8	+	19141370	19143010	19141370	19141520	19142615	19143010
98	"Map2k7"	"Map2k7"	chr8	+	4245694	4247897	4245694	4245825	4247656	4247897
99	"Irak1"	"Irak1"	chrX	-	74013913	74015501	74013913	74014125	74015405	74015501
100	"Atf4"	"Atf4"	chr15	+	80255183	80255685	80255183	80255284	80255567	80255685
101	"Rufy3"	"Rufy3"	chr5	+	88583512	88584317	88583512	88583954	88584129	88584317
102	"Lepre1"	"Lepre1"	chr4	+	119247890	119248977	119247890	119248003	119248183	119248977
103	"Prx"	"Prx"	chr7	+	27515250	27520041	27515250	27515447	27516039	27520041
104	"Pla2g6"	"Pla2g6"	chr15	-	79327634	79328371	79327634	79327714	79328209	79328371
105	"Zmym6"	"Zmym6"	chr4	+	127077382	127078546	127077382	127077600	127078407	127078546
106	"Zmym6"	"Zmym6"	chr4	+	127122348	127124374	127122348	127122545	127122841	127124374
107	"D130020L05Rik"	"D130020L05Rik"	chr12	+	101082450	101084499	101082450	101084025	101084283	101084499
108	"Serpinh1"	"Serpinh1"	chr7	-	99352881	99353239	99352881	99352965	99353052	99353239
109	"Sirt6"	"Sirt6"	chr10	-	81621785	81622679	81621785	81622078	81622407	81622679
110	"Prg4"	"Prg4"	chr1	-	150454051	150456337	150454051	150454120	150456250	150456337
111	"Sec14l1"	"Sec14l1"	chr11	+	117156800	117159268	117156800	117156902	117157258	117159268
112	"Sec14l1"	"Sec14l1"	chr11	+	117156800	117159268	117156800	117156902	117158753	117159268
113	"Arrb2"	"Arrb2"	chr11	+	70440163	70440828	70440163	70440275	70440755	70440828
114	"Tfap2b"	"Tfap2b"	chr1	+	19234049	19238845	19234049	19234306	19236607	19238845
115	"Vamp5"	"Vamp5"	chr6	-	72368048	72369470	72368048	72369179	72369289	72369470
116	"Gimap4"	"Gimap4"	chr6	+	48690370	48690948	48690370	48690457	48690841	48690948
117	"Gimap4"	"Gimap4"	chr6	+	48690370	48692062	48690370	48690457	48691365	48692062
118	"Gimap4"	"Gimap4"	chr6	+	48690841	48692062	48690841	48690948	48691411	48692062
119	"Gimap4"	"Gimap4"	chr6	+	48690370	48692062	48690370	48690948	48691397	48692062
120	"St6galnac4"	"St6galnac4"	chr2	+	32587077	32587681	32587077	32587227	32587580	32587681
121	"Tex33"	"Tex33"	chr15	-	78395674	78395912	78395674	78395767	78395842	78395912
122	"Ank1"	"Ank1"	chr8	+	23132096	23132634	23132096	23132483	23132561	23132634
123	"Ank1"	"Ank1"	chr8	+	23148280	23150497	23148280	23148400	23149621	23150497
124	"Ank1"	"Ank1"	chr8	+	23132096	23132634	23132096	23132471	23132561	23132634
125	"Adam9"	"Adam9"	chr8	-	24962859	24963088	24962859	24962876	24962930	24963088
126	"Pias3"	"Pias3"	chr3	+	96699419	96699837	96699419	96699653	96699758	96699837
127	"Rtel1"	"Rtel1"	chr2	+	181355923	181356616	181355923	181356258	181356357	181356616
128	"Cbll1"	"Cbll1"	chr12	-	31484828	31488314	31484828	31487461	31487926	31488314
129	"Gas2l3"	"Gas2l3"	chr10	-	89408822	89414492	89408822	89413182	89414167	89414492
130	"Bicd2"	"Bicd2"	chr13	+	49341548	49341910	49341548	49341641	49341745	49341910
131	"Bicd2"	"Bicd2"	chr13	+	49383042	49387026	49383042	49383253	49384970	49387026
132	"Caly"	"Caly"	chr7	-	140069879	140070664	140069879	140070033	140070311	140070664
133	"Aifm2"	"Aifm2"	chr10	+	61736582	61738652	61736582	61736758	61738398	61738652
134	"Eng"	"Eng"	chr2	+	32681195	32682669	32681195	32681297	32681436	32682669
135	"Bglap"	"Bglap"	chr3	-	88383494	88384031	88383494	88383767	88383973	88384031
136	"Btbd9"	"Btbd9"	chr17	-	30215523	30220570	30215523	30220144	30220344	30220570
137	"Pja1"	"Pja1"	chrX	-	99465733	99468314	99465733	99467573	99468122	99468314
138	"Pja1"	"Pja1"	chrX	-	99465733	99468314	99465733	99467582	99468122	99468314
139	"Map4k2"	"Map4k2"	chr19	+	6341743	6341967	6341743	6341834	6341902	6341967
140	"2610002J02Rik"	"2610002J02Rik"	chr4	+	155249965	155250650	155249965	155250062	155250505	155250650
141	"Tbc1d25"	"Tbc1d25"	chrX	-	8175710	8176181	8175710	8175849	8176056	8176181
142	"Mdp1"	"Mdp1"	chr14	-	55659987	55660228	55659987	55660098	55660167	55660228
143	"Mcf2l"	"Mcf2l"	chr8	+	13018695	13020509	13018695	13018799	13018885	13020509
144	"Deaf1"	"Deaf1"	chr7	-	141327278	141327725	141327278	141327473	141327516	141327725
145	"Rps27a"	"Rps27a"	chr11	-	29547680	29548040	29547680	29547745	29547840	29548040
146	"Prom1"	"Prom1"	chr5	-	44001442	44001901	44001442	44001548	44001785	44001901
147	"Enoph1"	"Enoph1"	chr5	+	100067798	100068765	100067798	100067941	100068295	100068765
148	"Pnkp"	"Pnkp"	chr7	+	44857145	44857554	44857145	44857302	44857394	44857554
149	"Tro"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150649464	150649655
150	"Crebzf"	"Crebzf"	chr7	+	90442780	90448043	90442780	90444377	90445424	90448043
151	"Crebzf"	"Crebzf"	chr7	+	90442780	90444377	90442780	90444087	90444299	90444377
152	"Crebzf"	"Crebzf"	chr7	+	90445424	90448043	90445424	90445493	90447196	90448043
153	"Snx12"	"Snx12"	chrX	-	101211960	101213864	101211960	101212346	101213773	101213864
154	"Ciz1"	"Ciz1"	chr2	+	32370863	32371408	32370863	32371113	32371248	32371408
155	"Ciz1"	"Ciz1"	chr2	+	32370863	32371408	32370863	32371101	32371248	32371408
156	"Celf2"	"Celf2"	chr2	-	6539698	6547213	6539698	6545675	6547041	6547213
157	"Celf2"	"Celf2"	chr2	-	6539698	6547213	6539698	6546779	6547041	6547213
158	"Nipbl"	"Nipbl"	chr15	-	8289823	8292325	8289823	8291590	8292136	8292325
159	"Tnfaip8"	"Tnfaip8"	chr18	+	50090199	50093229	50090199	50090522	50091265	50093229
160	"Fcho1"	"Fcho1"	chr8	-	71708925	71709385	71708925	71709090	71709329	71709385
161	"BC051142"	"BC051142"	chr17	+	34421852	34421987	34421852	34421882	34421957	34421987
162	"BC051142"	"BC051142"	chr17	+	34459862	34460734	34459862	34460119	34460193	34460734
163	"Amer2"	"Amer2"	chr14	+	60378285	60381003	60378285	60379009	60379387	60381003
164	"Ankra2"	"Ankra2"	chr13	+	98272771	98273918	98272771	98272852	98273377	98273918
165	"Ankra2"	"Ankra2"	chr13	+	98272771	98273918	98272771	98272852	98273806	98273918
166	"Glyctk"	"Glyctk"	chr9	-	106157488	106158138	106157488	106157904	106158040	106158138
167	"Fbxl12"	"Fbxl12"	chr9	-	20644194	20644767	20644194	20644298	20644572	20644767
168	"Zfp446"	"Zfp446"	chr7	+	12981845	12985716	12981845	12981927	12982118	12985716
169	"Tmem107"	"Tmem107"	chr11	+	69072422	69073293	69072422	69072519	69072745	69073293
170	"AU022751"	"AU022751"	chrX	-	6081217	6083420	6081217	6082775	6083138	6083420
171	"Ednrb"	"Ednrb"	chr14	-	103814614	103817200	103814614	103815846	103817063	103817200
172	"Abhd1"	"Abhd1"	chr5	+	30954090	30954265	30954090	30954155	30954156	30954265
173	"Golga7"	"Golga7"	chr8	-	23256673	23257080	23256673	23256806	23257019	23257080
174	"Coch"	"Coch"	chr12	+	51593340	51593657	51593340	51593405	51593604	51593657
175	"Smox"	"Smox"	chr2	+	131520411	131521171	131520411	131520646	131521054	131521171
176	"Nipa2"	"Nipa2"	chr7	-	55961451	55962493	55961451	55961572	55962199	55962493
177	"Nipa2"	"Nipa2"	chr7	-	55961451	55962493	55961451	55961572	55962395	55962493
178	"Hiatl1"	"Hiatl1"	chr13	-	65112503	65112982	65112503	65112658	65112755	65112982
179	"Mapt"	"Mapt"	chr11	+	104327971	104332089	104327971	104328179	104329101	104332089
180	"Golph3l"	"Golph3l"	chr3	+	95617043	95619247	95617043	95617242	95617862	95619247
181	"Ambra1"	"Ambra1"	chr2	+	91772290	91773747	91772290	91772437	91772710	91773747
182	"Birc5"	"Birc5"	chr11	+	117852662	117855743	117852662	117852780	117855224	117855743
183	"Dnajb11"	"Dnajb11"	chr16	+	22871670	22872465	22871670	22871763	22872139	22872465
184	"Myo9b"	"Myo9b"	chr8	+	71348330	71349194	71348330	71348901	71348934	71349194
185	"Nrep"	"Nrep"	chr18	-	33463377	33463634	33463377	33463419	33463545	33463634
186	"Stap2"	"Stap2"	chr17	-	55999742	56000015	55999742	55999808	55999912	56000015
187	"Ccdc106"	"Ccdc106"	chr7	+	5056725	5057659	5056725	5056866	5057498	5057659
188	"Cyhr1"	"Cyhr1"	chr15	-	76659218	76659736	76659218	76659439	76659655	76659736
189	"Cyhr1"	"Cyhr1"	chr15	-	76659218	76659736	76659218	76659439	76659709	76659736
190	"B3gnt8"	"B3gnt8"	chr7	+	25627623	25629490	25627623	25627722	25628114	25629490
191	"Aph1a"	"Aph1a"	chr3	+	95896236	95898592	95896236	95896360	95896693	95898592
192	"Actr3"	"Actr3"	chr1	-	125435284	125435727	125435284	125435457	125435652	125435727
193	"Actr3"	"Actr3"	chr1	-	125435284	125435727	125435284	125435457	125435649	125435727
194	"Rpgrip1"	"Rpgrip1"	chr14	+	52149215	52149631	52149215	52149373	52149499	52149631
195	"Fmo5"	"Fmo5"	chr3	+	97628837	97629195	97628837	97628919	97629018	97629195
196	"Col4a5"	"Col4a5"	chrX	+	141475418	141475815	141475418	141475466	141475638	141475815
197	"Frk"	"Frk"	chr10	+	34483399	34484369	34483399	34483588	34483744	34484369
198	"Gp1bb"	"Gp1bb"	chr16	-	18620318	18622403	18620318	18621332	18621570	18622403
199	"A930003A15Rik"	"A930003A15Rik"	chr16	-	19883692	19884274	19883692	19883817	19883923	19884274
200	"Pdcd4"	"Pdcd4"	chr19	+	53929082	53929861	53929082	53929192	53929716	53929861
201	"Hspa5"	"Hspa5"	chr2	+	34772089	34772446	34772089	34772146	34772228	34772446
202	"Clk1"	"Clk1"	chr1	-	58419666	58421308	58419666	58419733	58421082	58421308
203	"Rpl31"	"Rpl31"	chr1	+	39367850	39368255	39367850	39367934	39368148	39368255
204	"Rpl31"	"Rpl31"	chr1	+	39367850	39368255	39367850	39368006	39368148	39368255
205	"Xist"	"Xist"	chrX	-	103460372	103468036	103460372	103460710	103466378	103468036
206	"Wfdc8"	"Wfdc8"	chr2	-	164596457	164597778	164596457	164596813	164597689	164597778
207	"P2rx2"	"P2rx2"	chr5	-	110339811	110340582	110339811	110340234	110340504	110340582
208	"P2rx2"	"P2rx2"	chr5	-	110339811	110340582	110339811	110340297	110340504	110340582
209	"Abi2"	"Abi2"	chr1	+	60476739	60481163	60476739	60476832	60478002	60481163
210	"Mkks"	"Mkks"	chr2	-	136880250	136881639	136880250	136880326	136880530	136881639
211	"1700008K24Rik"	"1700008K24Rik"	chr17	-	49113172	49113533	49113172	49113246	49113343	49113533
212	"1700008K24Rik"	"1700008K24Rik"	chr17	-	49113172	49113533	49113172	49113225	49113316	49113533
213	"2310022A10Rik"	"2310022A10Rik"	chr7	+	27580336	27582098	27580336	27580691	27581350	27582098
214	"Anks1"	"Anks1"	chr17	+	28059293	28062779	28059293	28059391	28060561	28062779
215	"Hoxa9"	"Hoxa9"	chr6	-	52225527	52227370	52225527	52225617	52225790	52227370
216	"1810032O08Rik"	"1810032O08Rik"	chr11	+	116674299	116675798	116674299	116674375	116675507	116675798
217	"Lrp8"	"Lrp8"	chr4	+	107872272	107876840	107872272	107872373	107874081	107876840
218	"Wars"	"Wars"	chr12	-	108860029	108861426	108860029	108860333	108861268	108861426
219	"Blzf1"	"Blzf1"	chr1	-	164307146	164307484	164307146	164307354	164307441	164307484
220	"Pla2g2a"	"Pla2g2a"	chr4	+	138832890	138833036	138832890	138833012	138833013	138833036
221	"Art5"	"Art5"	chr7	-	102097780	102098510	102097780	102097934	102098215	102098510
222	"Myadml2"	"Myadml2"	chr11	-	120646030	120648337	120646030	120646441	120647638	120648337
223	"BC005764"	"BC005764"	chr10	-	79866834	79867307	79866834	79867030	79867171	79867307
224	"4930526I15Rik"	"4930526I15Rik"	chr9	+	124423786	124424856	124423786	124424166	124424285	124424856
225	"Tubgcp4"	"Tubgcp4"	chr2	+	121196734	121198770	121196734	121196870	121198163	121198770
226	"Scmh1"	"Scmh1"	chr4	+	120529133	120530199	120529133	120529248	120529753	120530199
227	"Ikbkb"	"Ikbkb"	chr8	-	22659204	22661492	22659204	22660459	22661401	22661492
228	"Tssc4"	"Tssc4"	chr7	+	143069935	143071087	143069935	143070292	143070791	143071087
229	"Rad54l"	"Rad54l"	chr4	-	116123061	116123689	116123061	116123148	116123478	116123689
230	"Slc8a1"	"Slc8a1"	chr17	-	81373104	81389067	81373104	81386047	81388809	81389067
231	"A230103J11Rik"	"A230103J11Rik"	chr8	-	85053159	85054820	85053159	85054476	85054665	85054820
232	"Klra3"	"Klra3"	chr6	-	130323288	130323739	130323288	130323505	130323583	130323739
233	"Cacna1a"	"Cacna1a"	chr8	+	84639237	84640249	84639237	84639375	84639526	84640249
234	"Kng2"	"Kng2"	chr16	-	22987334	22988325	22987334	22987625	22988244	22988325
235	"Zyx"	"Zyx"	chr6	+	42357851	42358562	42357851	42357985	42358168	42358562
236	"Amigo2"	"Amigo2"	chr15	-	97244073	97247287	97244073	97246597	97246972	97247287
237	"Amigo2"	"Amigo2"	chr15	-	97244073	97247287	97244073	97246597	97246940	97247287
238	"Hltf"	"Hltf"	chr3	+	20116571	20118491	20116571	20116743	20117777	20118491
239	"Ace"	"Ace"	chr11	+	105988428	105989964	105988428	105988616	105988801	105989964
240	"Ints3"	"Ints3"	chr3	-	90391379	90392105	90391379	90391911	90391992	90392105
241	"Hdac10"	"Hdac10"	chr15	-	89124174	89124588	89124174	89124253	89124531	89124588
242	"March2"	"March2"	chr17	-	33685691	33688242	33685691	33686398	33687227	33688242
243	"Zfp169"	"Zfp169"	chr13	-	48487659	48491393	48487659	48489318	48491355	48491393
244	"Llgl1"	"Llgl1"	chr11	+	60712920	60714188	60712920	60713041	60713128	60714188
245	"Ngrn"	"Ngrn"	chr7	+	80261214	80261931	80261214	80261423	80261820	80261931
246	"Inpp5d"	"Inpp5d"	chr1	+	87715037	87715313	87715037	87715093	87715276	87715313
247	"Dmpk"	"Dmpk"	chr7	+	19088000	19088264	19088000	19088109	19088187	19088264
248	"Lck"	"Lck"	chr4	-	129558080	129558372	129558080	129558190	129558287	129558372
249	"Abl2"	"Abl2"	chr1	+	156640992	156649619	156640992	156641229	156641541	156649619
250	"Slc35c2"	"Slc35c2"	chr2	-	165283248	165283600	165283248	165283407	165283527	165283600
251	"Ptpn2"	"Ptpn2"	chr18	-	67665500	67672768	67665500	67665874	67672666	67672768
252	"A830018L16Rik"	"A830018L16Rik"	chr1	+	11596150	11601821	11596150	11596317	11596964	11601821
253	"Bcl2l11"	"Bcl2l11"	chr2	+	128128619	128129014	128128619	128128756	128128924	128129014
254	"Hopx"	"Hopx"	chr5	-	77094865	77095267	77094865	77095022	77095150	77095267
255	"Ccdc166"	"Ccdc166"	chr15	-	75979871	75982285	75979871	75981687	75981800	75982285
256	"Golga1"	"Golga1"	chr2	-	39016155	39018489	39016155	39017914	39018338	39018489
257	"Dapk1"	"Dapk1"	chr13	+	60760634	60763191	60760634	60761863	60762356	60763191
258	"Dapk1"	"Dapk1"	chr13	+	60760634	60763191	60760634	60761884	60762356	60763191
259	"Mib2"	"Mib2"	chr4	-	155668573	155669254	155668573	155668730	155668814	155669254
260	"Eif4a2"	"Eif4a2"	chr16	+	23112350	23114132	23112350	23112457	23113166	23114132
261	"Srsf1"	"Srsf1"	chr11	+	88049042	88053757	88049042	88049215	88049411	88053757
262	"Keap1"	"Keap1"	chr9	-	21237070	21239332	21237070	21237756	21238907	21239332
263	"Keap1"	"Keap1"	chr9	-	21237070	21239332	21237070	21237756	21239075	21239332
264	"Keap1"	"Keap1"	chr9	-	21237070	21239332	21237070	21237756	21238792	21239332
265	"Gm7120"	"Gm7120"	chr13	+	119609191	119610459	119609191	119609559	119610433	119610459
266	"Mtf2"	"Mtf2"	chr5	+	108080824	108081023	108080824	108080841	108080921	108081023
267	"Amigo1"	"Amigo1"	chr3	+	108187125	108192286	108187125	108188052	108191673	108192286
268	"Mthfr"	"Mthfr"	chr4	+	148055372	148059562	148055372	148055933	148057002	148059562
269	"Zbtb21"	"Zbtb21"	chr16	-	97947434	97953093	97947434	97950869	97951469	97953093
270	"Osbpl1a"	"Osbpl1a"	chr18	-	12755311	12756307	12755311	12756095	12756187	12756307
271	"Tbc1d24"	"Tbc1d24"	chr17	-	24175430	24181395	24175430	24180676	24181224	24181395
272	"Olfr631"	"Olfr631"	chr7	+	103918481	103918665	103918481	103918523	103918584	103918665
273	"Tc2n"	"Tc2n"	chr12	-	101645445	101649205	101645445	101646741	101649006	101649205
274	"Rnf20"	"Rnf20"	chr4	+	49632059	49632512	49632059	49632211	49632364	49632512
275	"Uspl1"	"Uspl1"	chr5	+	149213351	149215434	149213351	149213522	149214022	149215434
276	"Lancl1"	"Lancl1"	chr1	-	67038494	67038872	67038494	67038591	67038775	67038872
277	"Acr"	"Acr"	chr15	+	89569336	89569543	89569336	89569377	89569462	89569543
278	"Pttg1"	"Pttg1"	chr11	-	43420247	43421265	43420247	43420408	43421106	43421265
279	"Kat5"	"Kat5"	chr19	-	5609851	5610094	5609851	5609918	5610017	5610094
280	"Armcx2"	"Armcx2"	chrX	-	134807453	134807725	134807453	134807513	134807620	134807725
281	"Trmt112"	"Trmt112"	chr19	+	6909697	6910262	6909697	6909855	6909953	6910262
282	"Adamtsl5"	"Adamtsl5"	chr10	-	80342306	80343020	80342306	80342393	80342908	80343020
283	"Tap1"	"Tap1"	chr17	+	34192836	34192965	34192836	34192857	34192941	34192965
284	"Brpf1"	"Brpf1"	chr6	+	113321728	113322086	113321728	113321865	113321967	113322086
285	"Fga"	"Fga"	chr3	+	83030832	83033617	83030832	83031979	83032700	83033617
286	"Ret"	"Ret"	chr6	-	118151747	118155435	118151747	118154010	118155287	118155435
287	"Scn3b"	"Scn3b"	chr9	+	40288373	40291618	40288373	40288453	40288543	40291618
288	"L3mbtl2"	"L3mbtl2"	chr15	+	81686939	81688315	81686939	81686991	81687845	81688315
